technology_nm,array_dim,chiplet_size,workload,batch_size,flops,execution_time_s,energy_j,power_w,cycle_count,throughput
7,256x512,16x16,llama_3_8b,32,1000565.949595648,3971.094487039998,0.6472190372683518,8.199681024e-05,397109448703.99976,251.96226200637616
7,512x512,16x16,llama_3_8b,32,2001131.899191296,3971.0944870399985,1.1671852955115136,0.00016089428991999998,397109448703.99976,503.9245240127523
7,256x256,16x16,llama_3_8b,32,2001165.722058752,5434.858618879998,1.1541152492377442,4.099840512e-05,543485861887.99976,368.20934312936134
7,128x512,16x16,llama_3_8b,32,500282.974797824,3971.0944870399985,0.3872359081467708,4.25480704e-05,397109448703.99976,125.98113100318807
7,128x256,16x16,llama_3_8b,32,1000582.861029376,5434.858618879999,0.6341402025934574,2.12740352e-05,543485861887.99976,184.10467156468064
7,128x128,16x16,llama_3_8b,32,2001165.722058752,8369.587978239999,1.1763106545430224,1.06370176e-05,836958797823.9998,239.09966981189052
7,64x512,16x16,llama_3_8b,32,250141.487398912,3971.0944870399985,0.2572443435859803,2.282370048e-05,397109448703.99976,62.990565501594034
7,64x256,16x16,llama_3_8b,32,500291.430514688,5434.858618879998,0.3741526792713139,1.141185024e-05,543485861887.99976,92.05233578234034
7,64x128,16x16,llama_3_8b,32,1000582.861029376,8369.587978239999,0.6563356078987356,5.70592512e-06,836958797823.9998,119.54983490594526
7,32x32,16x16,llama_3_8b,32,2001165.722058752,29163.32404736,1.3906908247647387,8.1009472e-07,2916332404736.0,68.61926023278224
7,64x64,16x16,llama_3_8b,32,2001165.722058752,14506.463395840003,1.244178659795549,2.85296256e-06,1450646339584.0,137.94993772449206
7,64x64,32x32,llama_3_8b,32,2001165.722058752,14506.463395840003,1.4410383431446512,3.22793088e-06,1450646339584.0,137.94993772449206
7,32x32,32x32,llama_3_8b,32,2001165.722058752,29163.324047359998,1.7266937899251584,9.9757888e-07,2916332404736.0,68.61926023278225
7,64x64,64x64,llama_3_8b,32,2001165.722058752,14506.46339584,1.834757709842856,3.97786752e-06,1450646339584.0,137.9499377244921
7,64x128,64x64,llama_3_8b,32,1000582.861029376,8369.587978239999,1.054363966925272,7.95573504e-06,836958797823.9998,119.54983490594526
7,64x128,32x32,llama_3_8b,32,1000582.861029376,8369.587978239999,0.7890117275742476,6.45586176e-06,836958797823.9998,119.54983490594526
7,64x256,32x32,llama_3_8b,32,500291.430514688,5434.858618879999,0.4864756144310161,1.291172352e-05,543485861887.99976,92.05233578234032
7,64x256,64x64,llama_3_8b,32,500291.430514688,5434.858618879999,0.7111214847504206,1.591147008e-05,543485861887.99976,92.05233578234032
7,64x512,64x64,llama_3_8b,32,250141.487398912,3971.0944870399985,0.6362393961820173,3.182294016e-05,397109448703.99976,62.990565501594034
7,64x512,32x32,llama_3_8b,32,250141.487398912,3971.0944870399985,0.38357602778465927,2.582344704e-05,397109448703.99976,62.990565501594034
7,128x128,32x32,llama_3_8b,32,2001165.722058752,8369.587978239999,1.3089867742185346,1.138695424e-05,836958797823.9998,239.09966981189052
7,128x128,64x64,llama_3_8b,32,2001165.722058752,8369.587978239999,1.5743390135695592,1.288682752e-05,836958797823.9998,239.09966981189052
7,128x256,64x64,llama_3_8b,32,1000582.861029376,5434.858618879999,0.9711090080725642,2.577365504e-05,543485861887.99976,184.10467156468064
7,128x256,32x32,llama_3_8b,32,1000582.861029376,5434.858618879999,0.7464631377531596,2.277390848e-05,543485861887.99976,184.10467156468064
7,128x512,32x32,llama_3_8b,32,500282.974797824,3971.0944870399985,0.5135675923454498,4.554781696e-05,397109448703.99976,125.98113100318807
7,128x512,64x64,llama_3_8b,32,500282.974797824,3971.0944870399985,0.7662309607428077,5.154731008e-05,397109448703.99976,125.98113100318807
7,256x256,64x64,llama_3_8b,32,2001165.722058752,5434.858618879998,1.491084054716851,4.549802495999999e-05,543485861887.99976,368.20934312936134
7,256x256,32x32,llama_3_8b,32,2001165.722058752,5434.858618879999,1.2664381843974466,4.24982784e-05,543485861887.99976,368.2093431293613
7,256x512,32x32,llama_3_8b,32,1000565.949595648,3971.0944870399985,0.7735507214670307,8.49965568e-05,397109448703.99976,251.96226200637614
7,512x512,32x32,llama_3_8b,32,2001131.899191296,3971.0944870399985,1.2935169797101929,0.00016389403648,397109448703.99976,503.9245240127523
7,512x512,64x64,llama_3_8b,32,2001131.899191296,3971.094487039998,1.5461803481075507,0.0001698935296,397109448703.99976,503.92452401275233
7,256x512,64x64,llama_3_8b,32,1000565.949595648,3971.094487039998,1.0262140898643888,9.099604991999999e-05,397109448703.99976,251.96226200637616
7,256x512,64x64,llama_3_8b,64,2001165.722058752,11865.84383488,1.9537086896277547,9.099604991999999e-05,1186584383488.0,168.649254946055
7,512x512,64x64,llama_3_8b,64,4002331.444117504,11865.84383488,2.9936587829163286,0.0001698935296,1186584383488.0,337.29850989211
7,512x512,32x32,llama_3_8b,64,4002331.444117504,11865.84383488,2.5377005951414726,0.00016389403648,1186584383488.0,337.29850989211
7,256x512,32x32,llama_3_8b,64,2001165.722058752,11865.84383488,1.4977505018528987,8.49965568e-05,1186584383488.0,168.649254946055
7,256x256,32x32,llama_3_8b,64,4002331.444117504,13635.21511424,2.588751311401323,4.24982784e-05,1363521511423.9998,293.52902837137134
7,256x256,64x64,llama_3_8b,64,4002331.444117504,13635.215114240002,3.093917994646562,4.549802495999999e-05,1363521511423.9998,293.5290283713713
7,128x512,64x64,llama_3_8b,64,1000582.861029376,11865.843834880001,1.4337336429834677,5.154731008e-05,1186584383488.0,84.32462747302749
7,128x512,32x32,llama_3_8b,64,1000582.861029376,11865.84383488,0.9777754552086115,4.554781696e-05,1186584383488.0,84.3246274730275
7,128x256,32x32,llama_3_8b,64,2001165.722058752,13635.21511424,1.548801218112749,2.277390848e-05,1363521511423.9998,146.76451418568567
7,128x256,64x64,llama_3_8b,64,2001165.722058752,13635.215114240002,2.053967901357988,2.577365504e-05,1363521511423.9998,146.76451418568564
7,128x128,64x64,llama_3_8b,64,4002331.444117504,17271.249797120003,3.2047780123024387,1.288682752e-05,1727124979711.9998,231.73374776762807
7,128x128,32x32,llama_3_8b,64,4002331.444117504,17271.249797120003,2.64602354101873,1.138695424e-05,1727124979711.9998,231.73374776762807
7,64x512,32x32,llama_3_8b,64,500291.430514688,11865.84383488,0.717787931886468,2.582344704e-05,1186584383488.0,42.16231373651375
7,64x512,64x64,llama_3_8b,64,500291.430514688,11865.84383488,1.1737461196613244,3.182294016e-05,1186584383488.0,42.16231373651375
7,64x256,64x64,llama_3_8b,64,1000582.861029376,13635.21511424,1.533992854713701,1.591147008e-05,1363521511423.9998,73.38225709284283
7,64x256,32x32,llama_3_8b,64,1000582.861029376,13635.21511424,1.0288261714684621,1.291172352e-05,1363521511423.9998,73.38225709284283
7,64x128,32x32,llama_3_8b,64,2001165.722058752,17271.249797120003,1.6060734477301555,6.45586176e-06,1727124979711.9998,115.86687388381404
7,64x128,64x64,llama_3_8b,64,2001165.722058752,17271.249797120003,2.1648279190138644,7.95573504e-06,1727124979711.9998,115.86687388381404
7,64x64,64x64,llama_3_8b,64,4002331.444117504,24619.702353919994,3.7052496779078603,3.97786752e-06,2461970235391.999,162.566199484546
7,64x64,32x32,llama_3_8b,64,4002331.444117504,24619.702353919994,2.8999438154003765,3.22793088e-06,2461970235391.999,162.566199484546
7,32x32,32x32,llama_3_8b,64,4002331.444117504,58326.71100928001,3.48033979736457,9.9757888e-07,5832671100928.0,68.61918621608405
7,32x32,16x16,llama_3_8b,64,4002331.444117504,58326.71100928001,2.7948577582866045,8.1009472e-07,5832671100928.0,68.61918621608405
7,64x64,16x16,llama_3_8b,64,4002331.444117504,24619.70235391999,2.497290884146635,2.85296256e-06,2461970235391.999,162.56619948454602
7,64x128,16x16,llama_3_8b,64,2001165.722058752,17271.249797120003,1.3266962120883012,5.70592512e-06,1727124979711.9998,115.86687388381404
7,64x256,16x16,llama_3_8b,64,1000582.861029376,13635.21511424,0.7762428298458428,1.141185024e-05,1363521511423.9998,73.38225709284283
7,64x512,16x16,llama_3_8b,64,500291.430514688,11865.843834880001,0.48980883799903985,2.282370048e-05,1186584383488.0,42.162313736513745
7,128x128,16x16,llama_3_8b,64,4002331.444117504,17271.249797120003,2.3666463053768747,1.06370176e-05,1727124979711.9998,231.73374776762807
7,128x256,16x16,llama_3_8b,64,2001165.722058752,13635.21511424,1.2962178764901298,2.12740352e-05,1363521511423.9998,146.76451418568567
7,128x512,16x16,llama_3_8b,64,1000582.861029376,11865.84383488,0.7497963613211832,4.25480704e-05,1186584383488.0,84.3246274730275
7,256x256,16x16,llama_3_8b,64,4002331.444117504,13635.215114240002,2.3361679697787037,4.099840512e-05,1363521511423.9998,293.5290283713713
7,256x512,16x16,llama_3_8b,64,2001165.722058752,11865.84383488,1.2697714079654703,8.199681024e-05,1186584383488.0,168.649254946055
7,512x512,16x16,llama_3_8b,64,4002331.444117504,11865.84383488,2.309721501254044,0.00016089428991999998,1186584383488.0,337.29850989211
7,512x512,16x16,llama_3_8b,128,8004662.888235008,41978.05510656,4.594758103543166,0.00016089428991999998,4197805510656.0005,190.68684501736485
7,256x512,16x16,llama_3_8b,128,4002331.444117504,41978.05510656,2.514857916966019,8.199681024e-05,4197805510656.0005,95.34342250868242
7,256x256,16x16,llama_3_8b,128,8004662.888235008,43108.92158976,4.659993489247331,4.099840512e-05,4310892158976.0005,185.68460061261237
7,128x512,16x16,llama_3_8b,128,2001165.722058752,41978.05510656,1.4749078236774444,4.25480704e-05,4197805510656.0005,47.67171125434121
7,128x256,16x16,llama_3_8b,128,4002331.444117504,43108.92158976,2.5800933026701833,2.12740352e-05,4310892158976.0005,92.84230030630619
7,128x128,16x16,llama_3_8b,128,8004662.888235008,48064.34144256001,4.8089804174271595,1.06370176e-05,4806434144256.0,166.54057140887068
7,64x512,16x16,llama_3_8b,128,1000582.861029376,41978.05510656,0.9549327770331576,2.282370048e-05,4197805510656.0005,23.835855627170606
7,64x256,16x16,llama_3_8b,128,2001165.722058752,43108.92158976,1.5401432093816094,1.141185024e-05,4310892158976.0005,46.42115015315309
