carbon,type,arch,subarch,arch_dim,model,normalized_carbon
0.14024184895790004,onchip,systolic,taylor,16x16,llama_2_70b,0.02081784293291777
6.5890440756,offchip,systolic,taylor,16x16,llama_2_70b,0.9780938119625825
0.14024184895790004,onchip,systolic,taylor,16x16,llama_2_70b_GQA,0.02081784293291777
6.5890440756,offchip,systolic,taylor,16x16,llama_2_70b_GQA,0.9780938119625825
0.15032153874560006,onchip,systolic,pwl,16x16,llama_2_7b,0.02231409672857235
6.5890440756,offchip,systolic,pwl,16x16,llama_2_7b,0.9780938119625825
0.15032153874560006,onchip,systolic,pwl,16x16,llama_2_13b,0.02231409672857235
6.5890440756,offchip,systolic,pwl,16x16,llama_2_13b,0.9780938119625825
0.15032153874560006,onchip,systolic,pwl,16x16,llama_2_70b,0.02231409672857235
6.5890440756,offchip,systolic,pwl,16x16,llama_2_70b,0.9780938119625825
0.15032153874560006,onchip,systolic,pwl,16x16,llama_2_70b_GQA,0.02231409672857235
6.5890440756,offchip,systolic,pwl,16x16,llama_2_70b_GQA,0.9780938119625825
0.13301157540240002,onchip,simd,mac,16x16,llama_2_7b,0.019744563449233744
6.5890440756,offchip,simd,mac,16x16,llama_2_7b,0.9780938119625825
0.13301157540240002,onchip,simd,mac,16x16,llama_2_13b,0.019744563449233744
6.5890440756,offchip,simd,mac,16x16,llama_2_13b,0.9780938119625825
0.13301157540240002,onchip,simd,mac,16x16,llama_2_70b,0.019744563449233744
6.5890440756,offchip,simd,mac,16x16,llama_2_70b,0.9780938119625825
0.13301157540240002,onchip,simd,mac,16x16,llama_2_70b_GQA,0.019744563449233744
6.5890440756,offchip,simd,mac,16x16,llama_2_70b_GQA,0.9780938119625825
0.17602431031440002,onchip,simd,figna,16x16,llama_2_7b,0.02612947898027505
6.5890440756,offchip,simd,figna,16x16,llama_2_7b,0.9780938119625825
0.17602431031440002,onchip,simd,figna,16x16,llama_2_13b,0.02612947898027505
6.5890440756,offchip,simd,figna,16x16,llama_2_13b,0.9780938119625825
0.17602431031440002,onchip,simd,figna,16x16,llama_2_70b,0.02612947898027505
6.5890440756,offchip,simd,figna,16x16,llama_2_70b,0.9780938119625825
0.17602431031440002,onchip,simd,figna,16x16,llama_2_70b_GQA,0.02612947898027505
6.5890440756,offchip,simd,figna,16x16,llama_2_70b_GQA,0.9780938119625825
