carbon,type,arch,subarch,arch_dim,model
0.0014371866753611852,onchip_op,carat,,256x8,llama_2_70b
0.012787090280944267,offchip_op,carat,,256x8,llama_2_70b
4.030380217379018e-05,onchip_em,carat,,256x8,llama_2_70b
0.00010503210319391177,offchip_em,carat,,256x8,llama_2_70b
0.0012044891773256242,onchip_op,carat,,256x8,llama_2_70b_GQA
0.009132444834810016,offchip_op,carat,,256x8,llama_2_70b_GQA
2.6585045494926776e-05,onchip_em,carat,,256x8,llama_2_70b_GQA
6.928088892947742e-05,offchip_em,carat,,256x8,llama_2_70b_GQA
0.00013450234341016963,onchip_op,systolic,mac,16x16,llama_2_7b
0.0017137704861933964,offchip_op,systolic,mac,16x16,llama_2_7b
5.638464247431376e-06,onchip_em,systolic,mac,16x16,llama_2_7b
2.187203177725015e-05,offchip_em,systolic,mac,16x16,llama_2_7b
0.00025369322933610635,onchip_op,systolic,mac,16x16,llama_2_13b
0.0030800809596724893,offchip_op,systolic,mac,16x16,llama_2_13b
1.0056565921022013e-05,onchip_em,systolic,mac,16x16,llama_2_13b
3.901018428817862e-05,offchip_em,systolic,mac,16x16,llama_2_13b
0.001443630075990191,onchip_op,systolic,mac,16x16,llama_2_70b
0.015703329228045546,offchip_op,systolic,mac,16x16,llama_2_70b
5.033923745354629e-05,onchip_em,systolic,mac,16x16,llama_2_70b
0.00019526973177635731,offchip_em,systolic,mac,16x16,llama_2_70b
0.0012206129485887785,onchip_op,systolic,mac,16x16,llama_2_70b_GQA
0.011496906768216948,offchip_op,systolic,mac,16x16,llama_2_70b_GQA
3.672132074162234e-05,onchip_em,systolic,mac,16x16,llama_2_70b_GQA
0.0001424447968308473,offchip_em,systolic,mac,16x16,llama_2_70b_GQA
0.00014003021344261943,onchip_op,systolic,figna,16x16,llama_2_7b
0.0017137704861933964,offchip_op,systolic,figna,16x16,llama_2_7b
6.145655832577445e-06,onchip_em,systolic,figna,16x16,llama_2_7b
2.187203177725015e-05,offchip_em,systolic,figna,16x16,llama_2_7b
0.0002639120322649249,onchip_op,systolic,figna,16x16,llama_2_13b
0.0030800809596724893,offchip_op,systolic,figna,16x16,llama_2_13b
1.0961174939857717e-05,onchip_em,systolic,figna,16x16,llama_2_13b
3.901018428817862e-05,offchip_em,systolic,figna,16x16,llama_2_13b
0.0014993080877328693,onchip_op,systolic,figna,16x16,llama_2_70b
0.015703329228045546,offchip_op,systolic,figna,16x16,llama_2_70b
5.48673565510008e-05,onchip_em,systolic,figna,16x16,llama_2_70b
0.00019526973177635731,offchip_em,systolic,figna,16x16,llama_2_70b
0.0012655990905597115,onchip_op,systolic,figna,16x16,llama_2_70b_GQA
0.011496906768216948,offchip_op,systolic,figna,16x16,llama_2_70b_GQA
4.002447991020006e-05,onchip_em,systolic,figna,16x16,llama_2_70b_GQA
0.0001424447968308473,offchip_em,systolic,figna,16x16,llama_2_70b_GQA
0.00013265153446598095,onchip_op,systolic,taylor,16x16,llama_2_7b
0.0016722779206807222,offchip_op,systolic,taylor,16x16,llama_2_7b
5.33429389878278e-06,onchip_em,systolic,taylor,16x16,llama_2_7b
2.0588120964870648e-05,offchip_em,systolic,taylor,16x16,llama_2_7b
0.0002508417962696039,onchip_op,systolic,taylor,16x16,llama_2_13b
0.003015204899416813,offchip_op,systolic,taylor,16x16,llama_2_13b
9.587244706752244e-06,onchip_em,systolic,taylor,16x16,llama_2_13b
3.700271441501779e-05,offchip_em,systolic,taylor,16x16,llama_2_13b
0.001434680782546646,onchip_op,systolic,taylor,16x16,llama_2_70b
0.015486729658920832,offchip_op,systolic,taylor,16x16,llama_2_70b
4.8857020175694994e-05,onchip_em,systolic,taylor,16x16,llama_2_70b
0.0001885674581203451,offchip_em,systolic,taylor,16x16,llama_2_70b
0.0012111978853472259,onchip_op,systolic,taylor,16x16,llama_2_70b_GQA
0.011280307199092237,offchip_op,systolic,taylor,16x16,llama_2_70b_GQA
3.517030594547279e-05,onchip_em,systolic,taylor,16x16,llama_2_70b_GQA
0.00013574252317483514,offchip_em,systolic,taylor,16x16,llama_2_70b_GQA
0.00013316363339055254,onchip_op,systolic,pwl,16x16,llama_2_7b
0.0016663504113217681,offchip_op,systolic,pwl,16x16,llama_2_7b
5.486778815242908e-06,onchip_em,systolic,pwl,16x16,llama_2_7b
2.0404705134530718e-05,offchip_em,systolic,pwl,16x16,llama_2_7b
0.00025186783104912423,onchip_op,systolic,pwl,16x16,llama_2_13b
0.0030059368908088593,offchip_op,systolic,pwl,16x16,llama_2_13b
9.872830901653953e-06,onchip_em,systolic,pwl,16x16,llama_2_13b
3.671593300456624e-05,offchip_em,systolic,pwl,16x16,llama_2_13b
0.0014411515252200939,onchip_op,systolic,pwl,16x16,llama_2_70b
0.015455786863331586,offchip_op,systolic,pwl,16x16,llama_2_70b
5.044789985303519e-05,onchip_em,systolic,pwl,16x16,llama_2_70b
0.00018760999045520053,offchip_em,systolic,pwl,16x16,llama_2_70b
0.0012151949124098317,onchip_op,systolic,pwl,16x16,llama_2_70b_GQA
0.011249364403502993,offchip_op,systolic,pwl,16x16,llama_2_70b_GQA
3.624339495748944e-05,onchip_em,systolic,pwl,16x16,llama_2_70b_GQA
0.00013478505550969054,offchip_em,systolic,pwl,16x16,llama_2_70b_GQA
0.00012967623687102327,onchip_op,simd,mac,16x16,llama_2_7b
0.0017137704861933964,offchip_op,simd,mac,16x16,llama_2_7b
5.5580517398674834e-06,onchip_em,simd,mac,16x16,llama_2_7b
2.187203177725015e-05,offchip_em,simd,mac,16x16,llama_2_7b
0.00024443772140792376,onchip_op,simd,mac,16x16,llama_2_13b
0.0030800809596724893,offchip_op,simd,mac,16x16,llama_2_13b
9.913145009280067e-06,onchip_em,simd,mac,16x16,llama_2_13b
3.901018428817862e-05,offchip_em,simd,mac,16x16,llama_2_13b
0.0013891474352272374,onchip_op,simd,mac,16x16,llama_2_70b
0.015703329228045546,offchip_op,simd,mac,16x16,llama_2_70b
4.9621328438810957e-05,onchip_em,simd,mac,16x16,llama_2_70b
0.00019526973177635731,offchip_em,simd,mac,16x16,llama_2_70b
0.0011731003039617352,onchip_op,simd,mac,16x16,llama_2_70b_GQA
0.01149690676821695,offchip_op,simd,mac,16x16,llama_2_70b_GQA
3.619762255851566e-05,onchip_em,simd,mac,16x16,llama_2_70b_GQA
0.00014244479683084732,offchip_em,simd,mac,16x16,llama_2_70b_GQA
0.00013520410690347312,onchip_op,simd,figna,16x16,llama_2_7b
0.0017137704861933964,offchip_op,simd,figna,16x16,llama_2_7b
6.0652433250135545e-06,onchip_em,simd,figna,16x16,llama_2_7b
2.187203177725015e-05,offchip_em,simd,figna,16x16,llama_2_7b
0.0002546565243367423,onchip_op,simd,figna,16x16,llama_2_13b
0.0030800809596724893,offchip_op,simd,figna,16x16,llama_2_13b
1.0817754028115776e-05,onchip_em,simd,figna,16x16,llama_2_13b
3.901018428817862e-05,offchip_em,simd,figna,16x16,llama_2_13b
0.0014448254469699151,onchip_op,simd,figna,16x16,llama_2_70b
0.015703329228045546,offchip_op,simd,figna,16x16,llama_2_70b
5.4149447536265485e-05,onchip_em,simd,figna,16x16,llama_2_70b
0.00019526973177635731,offchip_em,simd,figna,16x16,llama_2_70b
0.0012180864459326681,onchip_op,simd,figna,16x16,llama_2_70b_GQA
0.01149690676821695,offchip_op,simd,figna,16x16,llama_2_70b_GQA
3.9500781727093395e-05,onchip_em,simd,figna,16x16,llama_2_70b_GQA
0.00014244479683084732,offchip_em,simd,figna,16x16,llama_2_70b_GQA
