carbon,type,arch,subarch,arch_dim,model
0.05918026200819249,onchip,mugi,vlp,128x8,llama_2_7b
0.9358910582255207,offchip,mugi,vlp,128x8,llama_2_7b
0.10868992342695541,onchip,mugi,vlp,128x8,llama_2_13b
1.6884445313731131,offchip,mugi,vlp,128x8,llama_2_13b
0.583031122423887,onchip,mugi,vlp,128x8,llama_2_70b
8.683564477981307,offchip,mugi,vlp,128x8,llama_2_70b
0.45071868050753655,onchip,mugi,vlp,128x8,llama_2_70b_GQA
6.313076630010454,offchip,mugi,vlp,128x8,llama_2_70b_GQA
0.06726128875820477,onchip,mugi,lut,128x8,llama_2_7b
0.9358910582255207,offchip,mugi,lut,128x8,llama_2_7b
0.12323642528341704,onchip,mugi,lut,128x8,llama_2_13b
1.688444531373113,offchip,mugi,lut,128x8,llama_2_13b
0.6574243258346465,onchip,mugi,lut,128x8,llama_2_70b
8.683564477981305,offchip,mugi,lut,128x8,llama_2_70b
0.5040497367854223,onchip,mugi,lut,128x8,llama_2_70b_GQA
6.313076630010454,offchip,mugi,lut,128x8,llama_2_70b_GQA
0.08006108898023796,onchip,mugi,vlp,256x8,llama_2_7b
0.930237064437497,offchip,mugi,vlp,256x8,llama_2_7b
0.14627867810566011,onchip,mugi,vlp,256x8,llama_2_13b
1.678921545176621,offchip,mugi,vlp,256x8,llama_2_13b
0.7752556913070202,onchip,mugi,vlp,256x8,llama_2_70b
8.642695400839676,offchip,mugi,vlp,256x8,llama_2_70b
0.5883421137118502,onchip,mugi,vlp,256x8,llama_2_70b_GQA
6.284654206824098,offchip,mugi,vlp,256x8,llama_2_70b_GQA
0.09602259434667303,onchip,mugi,lut,256x8,llama_2_7b
0.930237064437497,offchip,mugi,lut,256x8,llama_2_7b
0.17502935502452666,onchip,mugi,lut,256x8,llama_2_13b
1.678921545176621,offchip,mugi,lut,256x8,llama_2_13b
0.9225169017473817,onchip,mugi,lut,256x8,llama_2_70b
8.642695400839676,offchip,mugi,lut,256x8,llama_2_70b
0.6940043478292645,onchip,mugi,lut,256x8,llama_2_70b_GQA
6.284654206824098,offchip,mugi,lut,256x8,llama_2_70b_GQA
0.06912285934440797,onchip,carat,,128x8,llama_2_7b
0.9401958960986931,offchip,carat,,128x8,llama_2_7b
0.1270450007773684,onchip,carat,,128x8,llama_2_13b
1.696200863276287,offchip,carat,,128x8,llama_2_13b
0.6807538447665342,onchip,carat,,128x8,llama_2_70b
8.706036988447302,offchip,carat,,128x8,llama_2_70b
0.5274927721565311,onchip,carat,,128x8,llama_2_70b_GQA
6.3355491404764495,offchip,carat,,128x8,llama_2_70b_GQA
0.10431789768995653,onchip,carat,,256x8,llama_2_7b
0.9323894121216402,offchip,carat,,256x8,llama_2_7b
0.19130424439026428,onchip,carat,,256x8,llama_2_13b
1.6838248948286374,offchip,carat,,256x8,llama_2_13b
1.0178081388249818,onchip,carat,,256x8,llama_2_70b
8.653931477941562,offchip,carat,,256x8,llama_2_70b
0.7792472127385698,onchip,carat,,256x8,llama_2_70b_GQA
6.295890283925988,offchip,carat,,256x8,llama_2_70b_GQA
0.08837038861929901,onchip,systolic,mac,16x16,llama_2_7b
0.9614783055593897,offchip,systolic,mac,16x16,llama_2_7b
0.16151490225145554,onchip,systolic,mac,16x16,llama_2_13b
1.7277688276636203,offchip,systolic,mac,16x16,llama_2_13b
0.8575006635733594,onchip,systolic,mac,16x16,llama_2_70b
8.80572409257446,offchip,systolic,mac,16x16,llama_2_70b
0.6707184306592804,onchip,systolic,mac,16x16,llama_2_70b_GQA
6.446504922796466,offchip,systolic,mac,16x16,llama_2_70b_GQA
0.10070256917164094,onchip,systolic,figna,16x16,llama_2_7b
0.9614783055593897,offchip,systolic,figna,16x16,llama_2_7b
0.18378213466438945,onchip,systolic,figna,16x16,llama_2_13b
1.7277688276636203,offchip,systolic,figna,16x16,llama_2_13b
0.9723864487283331,onchip,systolic,figna,16x16,llama_2_70b
8.80572409257446,offchip,systolic,figna,16x16,llama_2_70b
0.7578282971302565,onchip,systolic,figna,16x16,llama_2_70b_GQA
6.446504922796465,offchip,systolic,figna,16x16,llama_2_70b_GQA
0.08578518515897139,onchip,systolic,taylor,16x16,llama_2_7b
0.9375611126175785,offchip,systolic,taylor,16x16,llama_2_7b
0.15759812458348704,onchip,systolic,taylor,16x16,llama_2_13b
1.6903728934458244,offchip,systolic,taylor,16x16,llama_2_13b
0.8461171408085254,onchip,systolic,taylor,16x16,llama_2_70b
8.68087151665248,offchip,systolic,taylor,16x16,llama_2_70b
0.6579589259651876,onchip,systolic,taylor,16x16,llama_2_70b_GQA
6.321652346874486,offchip,systolic,taylor,16x16,llama_2_70b_GQA
0.08821473866487196,onchip,systolic,pwl,16x16,llama_2_7b
0.9341443707687485,offchip,systolic,pwl,16x16,llama_2_7b
0.16208189437619602,onchip,systolic,pwl,16x16,llama_2_13b
1.6850306171289964,offchip,systolic,pwl,16x16,llama_2_13b
0.8703441244205893,onchip,systolic,pwl,16x16,llama_2_70b
8.663035434377912,offchip,systolic,pwl,16x16,llama_2_70b
0.6746658950320892,onchip,systolic,pwl,16x16,llama_2_70b_GQA
6.303816264599917,offchip,systolic,pwl,16x16,llama_2_70b_GQA
0.08507469334797622,onchip,simd,mac,16x16,llama_2_7b
0.9614783055593897,offchip,simd,mac,16x16,llama_2_7b
0.15534712394491476,onchip,simd,mac,16x16,llama_2_13b
1.7277688276636203,offchip,simd,mac,16x16,llama_2_13b
0.8229826693648844,onchip,simd,mac,16x16,llama_2_70b
8.80572409257446,offchip,simd,mac,16x16,llama_2_70b
0.6420986220776709,onchip,simd,mac,16x16,llama_2_70b_GQA
6.446504922796465,offchip,simd,mac,16x16,llama_2_70b_GQA
0.09740687390031813,onchip,simd,figna,16x16,llama_2_7b
0.9614783055593897,offchip,simd,figna,16x16,llama_2_7b
0.17761435635784864,onchip,simd,figna,16x16,llama_2_13b
1.7277688276636203,offchip,simd,figna,16x16,llama_2_13b
0.9378684545198581,onchip,simd,figna,16x16,llama_2_70b
8.80572409257446,offchip,simd,figna,16x16,llama_2_70b
0.729208488548647,onchip,simd,figna,16x16,llama_2_70b_GQA
6.446504922796466,offchip,simd,figna,16x16,llama_2_70b_GQA
