carbon,type,arch,subarch,arch_dim,model,normalized_carbon
0.05918026200819249,onchip,mugi,vlp,128x8,llama_2_7b,0.058577026799456915
0.9358910582255207,offchip,mugi,vlp,128x8,llama_2_7b,0.9263513499054683
0.10868992342695541,onchip,mugi,vlp,128x8,llama_2_13b,0.05954958915767439
1.6884445313731131,offchip,mugi,vlp,128x8,llama_2_13b,0.9250735945762495
0.583031122423887,onchip,mugi,vlp,128x8,llama_2_70b,0.06190636548432031
8.683564477981307,offchip,mugi,vlp,128x8,llama_2_70b,0.9220226770154106
0.45071868050753655,onchip,mugi,vlp,128x8,llama_2_70b_GQA,0.06557819319076691
6.313076630010454,offchip,mugi,vlp,128x8,llama_2_70b_GQA,0.918533392946465
0.06726128875820477,onchip,mugi,lut,128x8,llama_2_7b,0.0665756821693346
0.9358910582255207,offchip,mugi,lut,128x8,llama_2_7b,0.9263513499054683
0.12323642528341704,onchip,mugi,lut,128x8,llama_2_13b,0.06751940072733466
1.688444531373113,offchip,mugi,lut,128x8,llama_2_13b,0.9250735945762494
0.6574243258346465,onchip,mugi,lut,128x8,llama_2_70b,0.06980545124967255
8.683564477981305,offchip,mugi,lut,128x8,llama_2_70b,0.9220226770154104
0.5040497367854223,onchip,mugi,lut,128x8,llama_2_70b_GQA,0.07333769920396481
6.313076630010454,offchip,mugi,lut,128x8,llama_2_70b_GQA,0.918533392946465
0.08006108898023796,onchip,mugi,vlp,256x8,llama_2_7b,0.07924501169224107
0.930237064437497,offchip,mugi,vlp,256x8,llama_2_7b,0.920754988307759
0.14627867810566011,onchip,mugi,vlp,256x8,llama_2_13b,0.0801439076325584
1.678921545176621,offchip,mugi,vlp,256x8,llama_2_13b,0.9198560923674416
0.7752556913070202,onchip,mugi,vlp,256x8,llama_2_70b,0.08231681007066168
8.642695400839676,offchip,mugi,vlp,256x8,llama_2_70b,0.9176831899293384
0.5883421137118502,onchip,mugi,vlp,256x8,llama_2_70b_GQA,0.08560198293049165
6.284654206824098,offchip,mugi,vlp,256x8,llama_2_70b_GQA,0.9143980170695083
0.09602259434667303,onchip,mugi,lut,256x8,llama_2_7b,0.09504381852212483
0.930237064437497,offchip,mugi,lut,256x8,llama_2_7b,0.920754988307759
0.17502935502452666,onchip,mugi,lut,256x8,llama_2_13b,0.09589597502336981
1.678921545176621,offchip,mugi,lut,256x8,llama_2_13b,0.9198560923674416
0.9225169017473817,onchip,mugi,lut,256x8,llama_2_70b,0.09795303593332913
8.642695400839676,offchip,mugi,lut,256x8,llama_2_70b,0.9176831899293384
0.6940043478292645,onchip,mugi,lut,256x8,llama_2_70b_GQA,0.10097551569402656
6.284654206824098,offchip,mugi,lut,256x8,llama_2_70b_GQA,0.9143980170695083
0.06912285934440797,onchip,carat,,128x8,llama_2_7b,0.06841827742688872
0.9401958960986931,offchip,carat,,128x8,llama_2_7b,0.9306123077807348
0.1270450007773684,onchip,carat,,128x8,llama_2_13b,0.06960606247839579
1.696200863276287,offchip,carat,,128x8,llama_2_13b,0.9293231732275307
0.6807538447665342,onchip,carat,,128x8,llama_2_70b,0.07228258440779028
8.706036988447302,offchip,carat,,128x8,llama_2_70b,0.9244088128368988
0.5274927721565311,onchip,carat,,128x8,llama_2_70b_GQA,0.0767485893423842
6.3355491404764495,offchip,carat,,128x8,llama_2_70b_GQA,0.9218030746715736
0.10431789768995653,onchip,carat,,256x8,llama_2_7b,0.10325456632486142
0.9323894121216402,offchip,carat,,256x8,llama_2_7b,0.9228853967192383
0.19130424439026428,onchip,carat,,256x8,llama_2_13b,0.10481274434989898
1.6838248948286374,offchip,carat,,256x8,llama_2_13b,0.922542564563461
1.0178081388249818,onchip,carat,,256x8,llama_2_70b,0.10807107924713018
8.653931477941562,offchip,carat,,256x8,llama_2_70b,0.918876238926084
0.7792472127385698,onchip,carat,,256x8,llama_2_70b_GQA,0.11337809252279724
6.295890283925988,offchip,carat,,256x8,llama_2_70b_GQA,0.9160328320145298
0.08837038861929901,onchip,systolic,mac,16x16,llama_2_7b,0.08746961312395857
0.9614783055593897,offchip,systolic,mac,16x16,llama_2_7b,0.9516777817585902
0.16151490225145554,onchip,systolic,mac,16x16,llama_2_13b,0.08849160776509286
1.7277688276636203,offchip,systolic,mac,16x16,llama_2_13b,0.9466187904341536
0.8575006635733594,onchip,systolic,mac,16x16,llama_2_70b,0.09104959828135013
8.80572409257446,offchip,systolic,mac,16x16,llama_2_70b,0.9349936102256093
0.6707184306592804,onchip,systolic,mac,16x16,llama_2_70b_GQA,0.0975874857746146
6.446504922796466,offchip,systolic,mac,16x16,llama_2_70b_GQA,0.9379468025517254
0.10070256917164094,onchip,systolic,figna,16x16,llama_2_7b,0.09967608950978926
0.9614783055593897,offchip,systolic,figna,16x16,llama_2_7b,0.9516777817585902
0.18378213466438945,onchip,systolic,figna,16x16,llama_2_13b,0.10069149253877016
1.7277688276636203,offchip,systolic,figna,16x16,llama_2_13b,0.9466187904341536
0.9723864487283331,onchip,systolic,figna,16x16,llama_2_70b,0.10324819477340168
8.80572409257446,offchip,systolic,figna,16x16,llama_2_70b,0.9349936102256093
0.7578282971302565,onchip,systolic,figna,16x16,llama_2_70b_GQA,0.11026170563571054
6.446504922796465,offchip,systolic,figna,16x16,llama_2_70b_GQA,0.9379468025517251
0.08578518515897139,onchip,systolic,taylor,16x16,llama_2_7b,0.08491076111420072
0.9375611126175785,offchip,systolic,taylor,16x16,llama_2_7b,0.9280043811283882
0.15759812458348704,onchip,systolic,taylor,16x16,llama_2_13b,0.0863456636555064
