arch,bitwidth,runtime,dynamic_power W,leakage_power W,baseline dynamic power W,baseline leakage power W,dynamic power percent_dif,leakage power percent_dif
32,4,6.400000000000001e-10,0.00026,0.0048000000000000004,8.400000000000001e-06,0.0048,2995.238095238095,1.8070036208091743e-14
32,6,3.840000000000001e-09,4.333333333333333e-05,0.0048000000000000004,8.400000000000001e-06,0.0048,415.87301587301573,1.8070036208091743e-14
32,8,2.0480000000000002e-08,8.125e-06,0.0048000000000000004,8.400000000000001e-06,0.0048,-3.273809523809543,1.8070036208091743e-14
32,10,1.024e-07,1.625e-06,0.0048000000000000004,8.400000000000001e-06,0.0048,-80.65476190476191,1.8070036208091743e-14
32,12,4.915200000000001e-07,3.385416666666666e-07,0.0048000000000000004,8.400000000000001e-06,0.0048,-95.96974206349206,1.8070036208091743e-14
32,14,2.29376e-06,7.254464285714286e-08,0.0048000000000000004,8.400000000000001e-06,0.0048,-99.13637329931973,1.8070036208091743e-14
32,16,1.0485760000000001e-05,1.5869140625e-08,0.0048000000000000004,8.400000000000001e-06,0.0048,-99.81108165922619,1.8070036208091743e-14
