arch,bitwidth,throughput GOPs,baseline_throughput GOPs,throughput_percent_dif
32,4,49.99999999999999,14.0,257.14285714285705
32,6,8.333333333333332,4.3,93.79844961240308
32,8,1.5624999999999998,0.85,83.82352941176468
32,10,0.3125,0.18,73.61111111111111
32,12,0.06510416666666666,0.04,62.76041666666664
32,14,0.013950892857142856,0.008,74.3861607142857
32,16,0.0030517578124999996,0.0018,69.54210069444441
