arch,seq_len,archx
8x8,1024,59686594.80576001
8x8,2048,61751199.00672002
8x8,4096,70003576.01280005
8x16,4096,35007072.82944002
8x16,2048,30878199.97184001
8x32,2048,15441700.454400001
8x32,4096,17508821.237760004
8x32,1024,14923536.138240002
8x16,1024,29844555.694080003
