arch,seq_len,memory_area,memory_dynamic_energy,memory_leakage_power
8x8,1024,261.90792372664004,6781137232736.413,1154.9069319999999
8x8,2048,261.90792372664004,7036215293691.212,1154.9069319999999
8x8,4096,261.90792372664004,8053161138318.391,1154.9069319999999
8x16,4096,261.90792372664004,8000830120025.93,1154.9069319999999
8x16,2048,261.90792372664004,6987965812790.539,1154.9069319999999
8x32,2048,261.90792372664004,6963841072340.202,1154.9069319999999
8x32,4096,261.90792372664004,7974664610879.698,1154.9069319999999
8x32,1024,261.90792372664004,6710294235338.255,1154.9069319999999
8x16,1024,261.90792372664004,6733908567804.308,1154.9069319999999
