arch,seq_len,archx
8x8,1024,23874637922304.0
8x8,2048,24700479602688.004
8x8,4096,28001430405120.02
8x16,4096,14002829131776.004
8x16,2048,12351279988736.002
8x32,2048,6176680181760.0
8x32,4096,7003528495104.0
8x32,1024,5969414455296.0
8x16,1024,11937822277632.0
