arch,seq_len,archx,pnr,percent_error,archx_norm,syn_norm
8x8,1024,558716509858.5131,1304161670235.663,-57.158953325353245,0.4284104667464675,1.0
8x8,2048,568601000205.1926,1349273603189.153,-57.85873236819848,0.4359896577104938,1.0345907520386934
8x8,4096,608127564605.7535,1529589364453.2734,-60.24242984828031,0.4662976826299951,1.1728525683298723
8x16,4096,539676568837.7979,3158582360620.3413,-82.91396242927773,0.4138110950157567,2.421925465766513
8x16,2048,504695220564.5863,2786046643601.1216,-81.88489694801953,0.3869882331945758,2.1362739813520824
8x32,2048,472742330845.5254,5713996051790.556,-91.72658982329213,0.362487521014247,4.381355611193535
8x32,4096,505451071071.1229,6478906628159.602,-92.19851280346818,0.3875678012985825,4.967870760217066
8x32,1024,464562440926.50885,5522256232367.149,-91.58745227713979,0.356215376919153,4.234334100134436
8x16,1024,495947130508.3685,2692784044960.1045,-81.58236523138206,0.3802804068139424,2.064762449638254
