model,array_dim,batch_size,pe_count,useful_macs,cycle_count,utilization
deepseek_v4,128x128,32,16384,4.789e+15,7.419e+11,0.3940
deepseek_v4,128x128,64,16384,9.579e+15,9.014e+11,0.6485
deepseek_v4,128x128,128,16384,1.916e+16,1.220e+12,0.9580
deepseek_v4,128x128,256,16384,3.831e+16,2.441e+12,0.9580
deepseek_v4,128x128,512,16384,7.663e+16,4.882e+12,0.9580
deepseek_v4,256x256,32,65536,4.789e+15,3.315e+11,0.2205
deepseek_v4,256x256,64,65536,9.579e+15,3.761e+11,0.3886
deepseek_v4,256x256,128,65536,1.916e+16,4.673e+11,0.6256
deepseek_v4,256x256,256,65536,3.831e+16,6.495e+11,0.9001
deepseek_v4,256x256,512,65536,7.663e+16,1.297e+12,0.9013
deepseek_v4,32x32,32,1024,4.789e+15,4.736e+12,0.9876
deepseek_v4,32x32,64,1024,9.579e+15,9.832e+12,0.9514
deepseek_v4,32x32,128,1024,1.916e+16,1.966e+13,0.9514
deepseek_v4,32x32,256,1024,3.831e+16,3.843e+13,0.9737
deepseek_v4,32x32,512,1024,7.663e+16,7.595e+13,0.9853
deepseek_v4,512x512,32,262144,4.789e+15,1.639e+11,0.1115
deepseek_v4,512x512,64,262144,9.579e+15,1.843e+11,0.1982
deepseek_v4,512x512,128,262144,1.916e+16,2.253e+11,0.3244
deepseek_v4,512x512,256,262144,3.831e+16,3.069e+11,0.4763
deepseek_v4,512x512,512,262144,7.663e+16,4.701e+11,0.6218
deepseek_v4,64x64,32,4096,4.789e+15,1.793e+12,0.6520
deepseek_v4,64x64,64,4096,9.579e+15,2.452e+12,0.9537
deepseek_v4,64x64,128,4096,1.916e+16,4.791e+12,0.9762
deepseek_v4,64x64,256,4096,3.831e+16,9.470e+12,0.9878
deepseek_v4,64x64,512,4096,7.663e+16,1.894e+13,0.9878
llama_3_1_405b,128x128,32,16384,5.431e+16,8.936e+12,0.3709
llama_3_1_405b,128x128,64,16384,1.086e+17,1.091e+13,0.6078
llama_3_1_405b,128x128,128,16384,2.172e+17,1.485e+13,0.8929
llama_3_1_405b,128x128,256,16384,4.344e+17,2.970e+13,0.8929
llama_3_1_405b,128x128,512,16384,8.689e+17,5.939e+13,0.8929
llama_3_1_405b,256x256,32,65536,5.431e+16,4.116e+12,0.2013
llama_3_1_405b,256x256,64,65536,1.086e+17,4.939e+12,0.3355
llama_3_1_405b,256x256,128,65536,2.172e+17,6.648e+12,0.4985
llama_3_1_405b,256x256,256,65536,4.344e+17,1.007e+13,0.6585
llama_3_1_405b,256x256,512,65536,8.689e+17,2.007e+13,0.6606
llama_3_1_405b,32x32,32,1024,5.431e+16,5.385e+13,0.9848
llama_3_1_405b,32x32,64,1024,1.086e+17,1.206e+14,0.8793
llama_3_1_405b,32x32,128,1024,2.172e+17,2.413e+14,0.8793
llama_3_1_405b,32x32,256,1024,4.344e+17,4.502e+14,0.9424
llama_3_1_405b,32x32,512,1024,8.689e+17,8.681e+14,0.9774
llama_3_1_405b,512x512,32,262144,5.431e+16,2.168e+12,0.0956
llama_3_1_405b,512x512,64,262144,1.086e+17,2.720e+12,0.1523
llama_3_1_405b,512x512,128,262144,2.172e+17,3.825e+12,0.2166
llama_3_1_405b,512x512,256,262144,4.344e+17,6.028e+12,0.2749
llama_3_1_405b,512x512,512,262144,8.689e+17,1.043e+13,0.3177
llama_3_1_405b,64x64,32,4096,5.431e+16,2.195e+13,0.6040
llama_3_1_405b,64x64,64,4096,1.086e+17,3.098e+13,0.8559
llama_3_1_405b,64x64,128,4096,2.172e+17,5.793e+13,0.9155
llama_3_1_405b,64x64,256,4096,4.344e+17,1.118e+14,0.9486
llama_3_1_405b,64x64,512,4096,8.689e+17,2.236e+14,0.9486
llama_3_1_70b,128x128,32,16384,9.550e+15,1.734e+12,0.3362
llama_3_1_70b,128x128,64,16384,1.910e+16,2.268e+12,0.5139
llama_3_1_70b,128x128,128,16384,3.820e+16,3.337e+12,0.6986
llama_3_1_70b,128x128,256,16384,7.640e+16,6.675e+12,0.6986
llama_3_1_70b,128x128,512,16384,1.528e+17,1.335e+13,0.6986
llama_3_1_70b,256x256,32,65536,9.550e+15,9.076e+11,0.1606
llama_3_1_70b,256x256,64,65536,1.910e+16,1.248e+12,0.2335
llama_3_1_70b,256x256,128,65536,3.820e+16,1.941e+12,0.3004
llama_3_1_70b,256x256,256,65536,7.640e+16,3.325e+12,0.3506
