model,array_dim,batch_size,max_seq_len,frequency,sram_size,dram_bandwidth,total_data_moved,window_cycle_count,average_bandwidth,peak_bandwidth,peak_phase,burst_bandwidth,burst_gemm
deepseek_v4,256x128,512,1048576,1000,83886080,256,1.772426776803269e+19,6.929993926783363e+16,255.7616637949871,356.8121121543288,prefill,718.1764216366158,proj_k_pf
deepseek_v4,256x128,512,1048576,2000,83886080,256,1.772426776803269e+19,6.929993926783363e+16,511.5233275899742,713.6242243086576,prefill,1436.3528432732317,proj_k_pf
llama_3_1_405b,512x512,512,131072,1000,83886080,256,2.5523733165884047e+18,9039380583537376.0,282.36152831498396,2065.3349940664007,prefill,3029.0996015936253,lm_head_dc
llama_3_1_405b,512x512,512,131072,2000,83886080,256,2.5523733165884047e+18,9039380583537376.0,564.7230566299679,4130.669988132801,prefill,6058.1992031872505,lm_head_dc
llama_3_1_70b,256x256,512,131072,1000,83886080,256,1.5050530406111642e+18,5722339239931058.0,263.0135994225496,946.2266677322776,prefill,1230.0199600798403,lm_head_dc
llama_3_1_70b,256x256,512,131072,2000,83886080,256,1.5050530406111642e+18,5722339239931058.0,526.0271988450992,1892.4533354645553,prefill,2460.0399201596806,lm_head_dc
llama_3_1_8b,64x256,128,131072,1000,83886080,256,1.4668870329040896e+17,430669258115749.94,340.60639464306456,911.4536323992869,prefill,1111.2974051896206,lm_head_dc
llama_3_1_8b,64x256,128,131072,2000,83886080,256,1.4668870329040896e+17,430669258115749.94,681.2127892861291,1822.9072647985738,prefill,2222.594810379241,lm_head_dc
