model,array_dim,batch_size,pe_count,useful_macs,compute_cycle_count,with_load_cycle_count,utilization,utilization_with_load
deepseek_v4,128x128,32,16384,4789260049711104.0,315746094713.7965,741923032697.7965,0.9257857511142398,0.393994016324152
deepseek_v4,128x128,64,16384,9578520099422208.0,617321340147.593,901439298803.593,0.9470375198307965,0.6485477964938151
deepseek_v4,128x128,128,16384,1.9157040198844416e+16,1220471831015.186,1220471831015.186,0.958033534335174,0.958033534335174
deepseek_v4,128x128,256,16384,3.831408039768883e+16,2440943662030.372,2440943662030.372,0.958033534335174,0.958033534335174
deepseek_v4,128x128,512,16384,7.662816079537766e+16,4881887324060.744,4881887324060.744,0.958033534335174,0.958033534335174
deepseek_v4,256x256,32,65536,4789260049711104.0,82087219567.8675,331473981807.8675,0.8902519691701926,0.2204646906687187
deepseek_v4,256x256,64,65536,9578520099422208.0,162385593055.735,376145674975.735,0.9000590198776761,0.38856386621334543
deepseek_v4,256x256,128,65536,1.9157040198844416e+16,324771186111.47,467277907391.47,0.9000590198776761,0.6255661370506644
deepseek_v4,256x256,256,65536,3.831408039768883e+16,649542372222.94,649542372222.94,0.9000590198776761,0.9000590198776761
deepseek_v4,256x256,512,65536,7.662816079537766e+16,1297295898365.88,1297295898365.88,0.9013001145666403,0.9013001145666403
deepseek_v4,32x32,32,1024,4789260049711104.0,4735541468835.399,4735541468835.399,0.9876403359732813,0.9876403359732813
deepseek_v4,32x32,64,1024,9578520099422208.0,9832065711430.799,9832065711430.799,0.9513792736064584,0.9513792736064584
deepseek_v4,32x32,128,1024,1.9157040198844416e+16,19664131422861.598,19664131422861.598,0.9513792736064584,0.9513792736064584
deepseek_v4,32x32,256,1024,3.831408039768883e+16,38425805911323.195,38425805911323.195,0.9737230814290441,0.9737230814290441
deepseek_v4,32x32,512,1024,7.662816079537766e+16,75949154888246.39,75949154888246.39,0.9852932318581566,0.9852932318581566
deepseek_v4,512x512,32,262144,4789260049711104.0,22754335257.571037,163870235699.1421,0.8029053369037082,0.11148807553765938
deepseek_v4,512x512,64,262144,9578520099422208.0,45508670515.142075,184330926182.28415,0.8029053369037082,0.19822584950214253
deepseek_v4,512x512,128,262144,1.9157040198844416e+16,91017341030.28415,225252307148.5683,0.8029053369037082,0.3244286808383285
deepseek_v4,512x512,256,262144,3.831408039768883e+16,181806667980.5683,306867055001.1366,0.8039123061406163,0.4762864417865211
deepseek_v4,512x512,512,262144,7.662816079537766e+16,363385321881.1366,470096550706.2732,0.8044167385264276,0.6218153164851529
deepseek_v4,64x64,32,4096,4789260049711104.0,1226017736000.6313,1793358169408.6313,0.9536998588929042,0.6519907521928913
deepseek_v4,64x64,64,4096,9578520099422208.0,2452035472001.2627,2452035472001.2627,0.9536998588929042,0.9536998588929042
deepseek_v4,64x64,128,4096,1.9157040198844416e+16,4791263827202.525,4791263827202.525,0.9761540870995548,0.9761540870995548
deepseek_v4,64x64,256,4096,3.831408039768883e+16,9469720537605.05,9469720537605.05,0.9877824268885647,0.9877824268885647
deepseek_v4,64x64,512,4096,7.662816079537766e+16,18939441075210.1,18939441075210.1,0.9877824268885647,0.9877824268885647
llama_3_1_405b,128x128,32,16384,5.430556434314035e+16,3727841449862.569,8935638744116.55,0.8891334702687516,0.37093583344675635
llama_3_1_405b,128x128,64,16384,1.086111286862807e+17,6950998028045.138,10906626259049.102,0.9536899856840173,0.6078045632448361
