model,array_dim,array_m,array_n,pe_count,batch_size,frequency,max_seq_len,cycle_count,llama_cycle_count,runtime_ms,runtime_ms_per_sequence,throughput_tokens_per_s,total_data_moved,window_cycle_count,average_bandwidth,peak_bandwidth,peak_phase
deepseek_v4,32x128,32,128,4096,32,1000,1048576,3.4638619618013436e+16,3.4638619618013436e+16,34638619618.01344,1082456863.06292,0.9668080416976103,1.1761884621899366e+18,3.4638619618013436e+16,33.95598540474958,350.2380634160967,prefill
deepseek_v4,32x128,32,128,4096,64,1000,1048576,6.9277181833056184e+16,6.9277181833056184e+16,69277181833.0562,1082455966.141503,0.9668088427933276,2.2806224004704174e+18,6.9277181833056184e+16,32.92025368419648,392.27011420629964,prefill
deepseek_v4,32x128,32,128,4096,128,1000,1048576,1.3855430754239269e+17,1.3855430754239269e+17,138554307542.3927,1082455527.674943,0.9668092344152804,4.489490277031379e+18,1.3855430754239269e+17,32.40238688109898,416.5593749675033,prefill
deepseek_v4,32x128,32,128,4096,256,1000,1048576,2.7710861508478538e+17,2.7710861508478538e+17,277108615084.7854,1082455527.674943,0.9668092344152804,8.907226009308135e+18,2.7710861508478538e+17,32.14344673687911,417.03407741263123,prefill
deepseek_v4,32x128,32,128,4096,512,1000,1048576,5.5421722889031974e+17,5.5421722889031974e+17,554217228890.3198,1082455525.176406,0.9668092366468813,1.8040177530236731e+19,5.5421722889031974e+17,32.55073388165438,417.41281809949703,prefill
deepseek_v4,32x256,32,256,8192,32,1000,1048576,1.732300311020655e+16,1.7467809936591958e+16,17467809936.59196,545869060.5184988,1.9171777184183065,1.1761884621899366e+18,1.7323003110206548e+16,67.89749183251821,677.1930291907744,prefill
deepseek_v4,32x256,32,256,8192,64,1000,1048576,3.4645990910232172e+16,3.4648963454936684e+16,34648963454.93668,541390053.9833857,1.9330388364174051,2.2806224004704174e+18,3.464599091023217e+16,65.82644457708005,718.5236764805557,prefill
deepseek_v4,32x256,32,256,8192,128,1000,1048576,6.9291981820464344e+16,6.930270768271689e+16,69302707682.71689,541427403.7712257,1.9329054878097731,4.489490277031379e+18,6.929198182046434e+16,64.79090594729499,720.2033055378747,prefill
deepseek_v4,32x256,32,256,8192,256,1000,1048576,1.3858396364092869e+17,1.386101961382773e+17,138610196138.27728,541446078.6651456,1.932838820404902,8.907226009308135e+18,1.3858396364092867e+17,64.27313648198701,721.0240343239085,prefill
deepseek_v4,32x256,32,256,8192,512,1000,1048576,2.7716791197167645e+17,2.772251717701471e+17,277225171770.1471,541455413.6135685,1.932805497345894,1.8040177530236731e+19,2.7716791197167645e+17,65.08753990281618,726.5265997355957,prefill
deepseek_v4,32x512,32,512,16384,32,1000,1048576,8665167085021320.0,8882386111481992.0,8882386111.481997,277574565.9838124,3.770258979927691,1.1761884621899366e+18,8665167085021321.0,135.7375398130644,1116.9676966360726,prefill
deepseek_v4,32x512,32,512,16384,64,1000,1048576,1.7330332890791632e+16,1.7478115804716752e+16,17478115804.716763,273095559.4486994,3.832094531718626,2.2806224004704174e+18,1.7330332890791634e+16,131.5971490473915,1130.4864698642139,prefill
deepseek_v4,32x512,32,512,16384,128,1000,1048576,3.4660665781583264e+16,3.467913554091152e+16,34679135540.911545,270930746.41337144,3.8627140472394528,4.489490277031379e+18,3.4660665781583268e+16,129.5269486547729,1133.1291077978597,prefill
deepseek_v4,32x512,32,512,16384,256,1000,1048576,6.932132805486061e+16,6.936305185466656e+16,69363051854.6666,270949421.3072914,3.8624478138785285,8.907226009308135e+18,6.9321328054860616e+16,128.4918546606463,1140.1827518407233,prefill
deepseek_v4,32x512,32,512,16384,512,1000,1048576,1.3864265132216429e+17,1.3881586462541523e+17,138815864625.41528,271124735.5965142,3.859950283390723,1.8040177530236731e+19,1.386426513221643e+17,130.11996927494357,1144.7994035408149,prefill
deepseek_v4,64x32,64,32,2048,32,1000,1048576,6.984960502685724e+16,6.984960502685724e+16,69849605026.85725,2182800157.089289,0.4794428828498526,1.1754292132702126e+18,6.984960502685725e+16,16.82800085724549,93.71290476885927,prefill
deepseek_v4,64x32,64,32,2048,64,1000,1048576,1.3853956620782853e+17,1.3853956620782853e+17,138539566207.82855,2164680721.997321,0.4834560539876675,2.2778743930910474e+18,1.3853956620782854e+17,16.4420494118909,94.14912701060783,prefill
deepseek_v4,64x32,64,32,2048,128,1000,1048576,2.7707890680142346e+17,2.7707890680142346e+17,277078906801.42346,2164678959.386121,0.4834564476465294,4.4827647318875505e+18,2.770789068014235e+17,16.178657493766753,105.78460561865218,prefill
deepseek_v4,64x32,64,32,2048,256,1000,1048576,5.541575879886133e+17,5.541575879886133e+17,554157587988.6134,2164678078.080521,0.4834566444762008,8.892545409480557e+18,5.541575879886134e+17,16.04696137385252,112.72732199924822,prefill
deepseek_v4,64x32,64,32,2048,512,1000,1048576,1.1083151759772266e+18,1.1083151759772266e+18,1108315175977.2268,2164678078.080521,0.4834566444762008,1.7859647394689745e+19,1.1083151759772268e+18,16.114231566794604,112.79239382408217,prefill
deepseek_v4,64x64,64,64,4096,32,1000,1048576,3.4926434831580292e+16,3.4926434831580292e+16,34926434831.58029,1091451088.486884,0.9588409513163229,1.1754292132702126e+18,3.4926434831580292e+16,33.65442877116665,187.16365914127283,prefill
deepseek_v4,64x64,64,64,4096,64,1000,1048576,6.927304774021761e+16,6.927304774021761e+16,69273047740.21759,1082391370.9408998,0.9668665402332941,2.2778743930910474e+18,6.927304774021761e+16,32.882549092301446,188.03488334636864,prefill
deepseek_v4,64x64,64,64,4096,128,1000,1048576,1.3854598267331842e+17,1.3854598267331842e+17,138545982673.3184,1082390489.6353,0.9668673274768117,4.4827647318875505e+18,1.3854598267331842e+17,32.35579008059433,211.23750992248867,prefill
deepseek_v4,64x64,64,64,4096,256,1000,1048576,2.7709185253952003e+17,2.7709185253952003e+17,277091852539.51996,1082390048.9824998,0.9668677210990512,8.892545409480557e+18,2.7709185253952003e+17,32.09241025306677,225.07842733177367,prefill
