model,array_dim,array_m,array_n,pe_count,batch_size,frequency,max_seq_len,cycle_count,llama_cycle_count,runtime_ms,runtime_ms_per_sequence,throughput_tokens_per_s,total_data_moved,window_cycle_count,average_bandwidth,peak_bandwidth,peak_phase
llama_3_1_405b,64x32,64,32,2048,128,2000,131072,1.218e+16,1.218e+16,6.092e+09,4.760e+07,2.711e+00,8.205e+17,1.218e+16,134.7,230.8,prefill
llama_3_1_405b,64x32,64,32,2048,256,2000,131072,2.436e+16,2.436e+16,1.218e+10,4.758e+07,2.712e+00,1.761e+18,2.436e+16,144.6,248.2,prefill
llama_3_1_405b,64x32,64,32,2048,512,2000,131072,4.872e+16,4.872e+16,2.436e+10,4.758e+07,2.712e+00,3.735e+18,4.872e+16,153.3,248.2,prefill
llama_3_1_405b,64x64,64,64,4096,32,2000,131072,1.931e+15,1.931e+15,9.657e+08,3.018e+07,4.276e+00,2.482e+17,1.931e+15,257.1,404.3,prefill
llama_3_1_405b,64x64,64,64,4096,64,2000,131072,3.049e+15,3.049e+15,1.524e+09,2.382e+07,5.417e+00,4.187e+17,3.049e+15,274.7,404.6,prefill
llama_3_1_405b,64x64,64,64,4096,128,2000,131072,6.093e+15,6.093e+15,3.047e+09,2.380e+07,5.421e+00,8.205e+17,6.093e+15,269.3,461.5,prefill
llama_3_1_405b,64x64,64,64,4096,256,2000,131072,1.218e+16,1.218e+16,6.091e+09,2.379e+07,5.422e+00,1.761e+18,1.218e+16,289.2,496.4,prefill
llama_3_1_405b,64x64,64,64,4096,512,2000,131072,2.437e+16,2.437e+16,1.218e+10,2.379e+07,5.422e+00,3.735e+18,2.437e+16,306.5,496.4,prefill
llama_3_1_405b,64x128,64,128,8192,32,2000,131072,9.660e+14,1.929e+15,9.643e+08,3.013e+07,4.282e+00,2.482e+17,9.660e+14,513.9,805.2,prefill
llama_3_1_405b,64x128,64,128,8192,64,2000,131072,1.524e+15,3.043e+15,1.522e+09,2.377e+07,5.427e+00,4.187e+17,1.524e+15,549.5,918.4,prefill
llama_3_1_405b,64x128,64,128,8192,128,2000,131072,3.047e+15,5.379e+15,2.689e+09,2.101e+07,6.141e+00,8.205e+17,3.047e+15,538.6,987.6,prefill
llama_3_1_405b,64x128,64,128,8192,256,2000,131072,6.094e+15,1.110e+16,5.549e+09,2.168e+07,5.952e+00,1.761e+18,6.094e+15,578.1,987.8,prefill
