model,array_dim,batch_size,cycle_count
deepseek_v4,128x128,32,741923032697.7964
deepseek_v4,128x128,64,901439298803.5929
deepseek_v4,128x128,128,1220471831015.1858
deepseek_v4,128x128,256,2440943662030.3716
deepseek_v4,128x128,512,4881887324060.743
deepseek_v4,256x256,32,331473981807.86755
deepseek_v4,256x256,64,376145674975.735
deepseek_v4,256x256,128,467277907391.47
deepseek_v4,256x256,256,649542372222.94
deepseek_v4,256x256,512,1297295898365.88
deepseek_v4,32x32,32,4735541468835.4
deepseek_v4,32x32,64,9832065711430.8
deepseek_v4,32x32,128,19664131422861.6
deepseek_v4,32x32,256,38425805911323.2
deepseek_v4,32x32,512,75949154888246.4
deepseek_v4,512x512,32,163870235699.14206
deepseek_v4,512x512,64,184330926182.28415
deepseek_v4,512x512,128,225252307148.5683
deepseek_v4,512x512,256,306867055001.1366
deepseek_v4,512x512,512,470096550706.27313
deepseek_v4,64x64,32,1793358169408.6316
deepseek_v4,64x64,64,2452035472001.2627
deepseek_v4,64x64,128,4791263827202.525
deepseek_v4,64x64,256,9469720537605.05
deepseek_v4,64x64,512,18939441075210.1
llama_3_1_405b,128x128,32,8935638744116.55
llama_3_1_405b,128x128,64,10906626259049.104
llama_3_1_405b,128x128,128,14848601288914.207
llama_3_1_405b,128x128,256,29697202577828.414
llama_3_1_405b,128x128,512,59394405155656.83
llama_3_1_405b,256x256,32,4116135497230.402
llama_3_1_405b,256x256,64,4939202206748.803
llama_3_1_405b,256x256,128,6648421234745.605
llama_3_1_405b,256x256,256,10066859290739.21
llama_3_1_405b,256x256,512,20070632972518.42
llama_3_1_405b,32x32,32,53853173452749.73
llama_3_1_405b,32x32,64,120626279620507.45
llama_3_1_405b,32x32,128,241252559241014.9
llama_3_1_405b,32x32,256,450205286694509.8
llama_3_1_405b,32x32,512,868110741601499.6
llama_3_1_405b,512x512,32,2167609393601.5896
llama_3_1_405b,512x512,64,2720210420611.1797
llama_3_1_405b,512x512,128,3825412474630.3594
llama_3_1_405b,512x512,256,6027930799628.719
llama_3_1_405b,512x512,512,10432967449625.438
llama_3_1_405b,64x64,32,21950713088064.797
llama_3_1_405b,64x64,64,30981493461121.594
llama_3_1_405b,64x64,128,57925507948803.19
llama_3_1_405b,64x64,256,111813536924166.38
llama_3_1_405b,64x64,512,223627073848332.75
llama_3_1_70b,128x128,32,1733546002627.9058
llama_3_1_70b,128x128,64,2268187431303.8115
llama_3_1_70b,128x128,128,3337470288655.623
llama_3_1_70b,128x128,256,6674940577311.246
llama_3_1_70b,128x128,512,13349881154622.492
llama_3_1_70b,256x256,32,907576237634.0327
llama_3_1_70b,256x256,64,1248279116932.0654
llama_3_1_70b,256x256,128,1940544518408.1309
llama_3_1_70b,256x256,256,3325075321360.2617
llama_3_1_70b,256x256,512,6639290999840.523
llama_3_1_70b,32x32,32,10104384306387.89
llama_3_1_70b,32x32,64,22432823474599.78
llama_3_1_70b,32x32,128,44865646949199.56
llama_3_1_70b,32x32,256,84171156743839.12
llama_3_1_70b,32x32,512,162782176333118.25
llama_3_1_70b,512x512,32,578914908152.8824
llama_3_1_70b,512x512,64,879814569969.7649
llama_3_1_70b,512x512,128,1481613893603.5298
llama_3_1_70b,512x512,256,2683855044551.0596
llama_3_1_70b,512x512,512,5088337346446.119
llama_3_1_70b,64x64,32,4178010859203.5537
llama_3_1_70b,64x64,64,6131966856583.107
llama_3_1_70b,64x64,128,11568916568846.215
llama_3_1_70b,64x64,256,22442815993372.43
llama_3_1_70b,64x64,512,44885631986744.86
llama_3_1_8b,128x128,32,265054343246.3623
llama_3_1_8b,128x128,64,400653328540.72455
llama_3_1_8b,128x128,128,671851299129.4491
llama_3_1_8b,128x128,256,1343702598258.8982
llama_3_1_8b,128x128,512,2687405196517.7964
llama_3_1_8b,256x256,32,176852883687.21307
llama_3_1_8b,256x256,64,292495897038.42615
llama_3_1_8b,256x256,128,524954526620.8523
llama_3_1_8b,256x256,256,989871785785.7046
llama_3_1_8b,256x256,512,1978570968691.4092
llama_3_1_8b,32x32,32,1409502484564.7563
llama_3_1_8b,32x32,64,3059154038953.5127
llama_3_1_8b,32x32,128,6118308077907.025
llama_3_1_8b,32x32,256,11636243481254.05
llama_3_1_8b,32x32,512,22672114287948.1
llama_3_1_8b,512x512,32,144558369174.753
llama_3_1_8b,512x512,64,259093910317.50595
llama_3_1_8b,512x512,128,488164992603.0119
llama_3_1_8b,512x512,256,946160561334.0238
llama_3_1_8b,512x512,512,1862151698796.0476
llama_3_1_8b,64x64,32,607220987367.8214
llama_3_1_8b,64x64,64,974292904911.6428
llama_3_1_8b,64x64,128,1873539225503.2856
llama_3_1_8b,64x64,256,3672031866686.5713
llama_3_1_8b,64x64,512,7344063733373.143
