model,array_dim,batch_size,max_seq_len,frequency,sram_size,dram_bandwidth,total_data_moved,window_cycle_count,average_bandwidth,peak_bandwidth,peak_phase,burst_bandwidth,burst_gemm
deepseek_v4,256x512,256,1048576,1000,83886080,256,8.881535735100244e+18,8668013191434958.0,1024.633389330357,1039.0174376185273,prefill,2875.338226990401,lm_head_dc
deepseek_v4,256x512,256,1048576,2000,83886080,256,8.881535735100244e+18,8668013191434958.0,2049.266778660714,2078.0348752370546,prefill,5750.676453980802,lm_head_dc
llama_3_1_405b,32x512,512,131072,1000,83886080,256,5.093535383104258e+18,7206819740343591.0,706.7660308736153,1931.224810460747,prefill,2071.3346341463416,proj_k_pf
llama_3_1_405b,32x512,512,131072,2000,83886080,256,5.093535383104258e+18,7206819740343591.0,1413.5320617472305,3862.449620921494,prefill,4142.669268292683,proj_k_pf
llama_3_1_70b,32x512,512,131072,1000,83886080,256,1.8232113054330388e+18,3809826784093907.5,478.55490780971394,1858.0972713244355,prefill,2069.287804878049,proj_k_pf
llama_3_1_70b,32x512,512,131072,2000,83886080,256,1.8232113054330388e+18,3809826784093907.5,957.1098156194279,3716.194542648871,prefill,4138.575609756098,proj_k_pf
llama_3_1_8b,32x512,32,131072,1000,83886080,256,3.814001978376192e+16,90044663652600.48,423.5677966537714,1691.053166595923,prefill,2005.7758241758243,gate_proj_pf
llama_3_1_8b,32x512,32,131072,2000,83886080,256,3.814001978376192e+16,90044663652600.48,847.1355933075428,3382.106333191846,prefill,4011.5516483516485,gate_proj_pf
