model,array_dim,batch_size,pe_count,useful_macs,compute_cycle_count,with_load_cycle_count,utilization,utilization_with_load
deepseek_v4,128x128,32,16384,2.344448443012874e+18,143405893660298.25,170255040753290.25,0.9978235439773654,0.8404671979534013
deepseek_v4,128x128,64,16384,4.688896886025748e+18,286797616471316.5,304697047866644.5,0.9978728470616229,0.9392527957933302
deepseek_v4,128x128,128,16384,9.377793772051497e+18,573581062093353.0,573581062093353.0,0.997897500430869,0.997897500430869
deepseek_v4,128x128,256,16384,1.8755587544102994e+19,1147162124186706.0,1147162124186706.0,0.997897500430869,0.997897500430869
deepseek_v4,128x128,512,16384,3.751117508820599e+19,2294324248373412.0,2294324248373412.0,0.997897500430869,0.997897500430869
deepseek_v4,256x256,32,65536,2.344448443012874e+18,35929116749955.78,51640482771075.78,0.9956672330355582,0.6927403141915818
deepseek_v4,256x256,64,65536,4.688896886025748e+18,71856444653831.56,85323329814791.56,0.9956920198926784,0.8385384006342039
deepseek_v4,256x256,128,65536,9.377793772051497e+18,143712889307663.12,152690812748303.12,0.9956920198926784,0.9371472616053006
deepseek_v4,256x256,256,65536,1.8755587544102994e+19,287425778615326.25,287425778615326.25,0.9956920198926784,0.9956920198926784
deepseek_v4,256x256,512,65536,3.751117508820599e+19,574849768384572.5,574849768384572.5,0.995695118336593,0.995695118336593
deepseek_v4,32x32,32,1024,2.344448443012874e+18,2290683363057824.0,2290683363057824.0,0.9994835905969628,0.9994835905969628
deepseek_v4,32x32,64,1024,4.688896886025748e+18,4581727708889408.0,4581727708889408.0,0.9994048438049696,0.9994048438049696
deepseek_v4,32x32,128,1024,9.377793772051497e+18,9163455417778816.0,9163455417778816.0,0.9994048438049696,0.9994048438049696
deepseek_v4,32x32,256,1024,1.8755587544102994e+19,1.832600837862323e+16,1.832600837862323e+16,0.99945405909577,0.99945405909577
deepseek_v4,32x32,512,1024,3.751117508820599e+19,3.665111430031206e+16,3.665111430031206e+16,0.9994786685589054,0.9994786685589054
deepseek_v4,512x512,32,262144,2.344448443012874e+18,9021273100916.43,25940875594984.86,0.9913635209703922,0.3447594138529779
deepseek_v4,512x512,64,262144,4.688896886025748e+18,18042546201832.86,42846949841361.72,0.9913635209703922,0.4174561362277717
deepseek_v4,512x512,128,262144,9.377793772051497e+18,36085092403665.72,76659098334115.44,0.9913635209703922,0.4666562095985392
deepseek_v4,512x512,256,262144,1.8755587544102994e+19,72169956793251.44,144283167305542.88,0.9913666530886756,0.4958782778047
deepseek_v4,512x512,512,262144,3.751117508820599e+19,144339685572422.88,279531305248397.75,0.991368219155239,0.5119060883438572
deepseek_v4,64x64,32,4096,2.344448443012874e+18,572986401989477.0,608728849294181.0,0.9989331442597686,0.9402792537615179
deepseek_v4,64x64,64,4096,4.688896886025748e+18,1145972803978954.0,1145972803978954.0,0.9989331442597686,0.9989331442597686
deepseek_v4,64x64,128,4096,9.377793772051497e+18,2291832800841108.0,2291832800841108.0,0.9989823131030797,0.9989823131030797
deepseek_v4,64x64,256,4096,1.8755587544102994e+19,4583552794565416.0,4583552794565416.0,0.9990068993398978,0.9990068993398978
deepseek_v4,64x64,512,4096,3.751117508820599e+19,9167105589130832.0,9167105589130832.0,0.9990068993398978,0.9990068993398978
llama_3_1_405b,128x128,32,16384,2.828634127211692e+18,173199326848830.94,964189607770615.5,0.9968059868912437,0.17905827291339277
