model,array_dim,batch_size,cycle_count
deepseek_v4,128x128,32,1.703e+14
deepseek_v4,128x128,64,3.047e+14
deepseek_v4,128x128,128,5.736e+14
deepseek_v4,128x128,256,1.147e+15
deepseek_v4,128x128,512,2.294e+15
deepseek_v4,256x256,32,5.164e+13
deepseek_v4,256x256,64,8.532e+13
deepseek_v4,256x256,128,1.527e+14
deepseek_v4,256x256,256,2.874e+14
deepseek_v4,256x256,512,5.748e+14
deepseek_v4,32x32,32,2.291e+15
deepseek_v4,32x32,64,4.582e+15
deepseek_v4,32x32,128,9.163e+15
deepseek_v4,32x32,256,1.833e+16
deepseek_v4,32x32,512,3.665e+16
deepseek_v4,512x512,32,2.594e+13
deepseek_v4,512x512,64,4.285e+13
deepseek_v4,512x512,128,7.666e+13
deepseek_v4,512x512,256,1.443e+14
deepseek_v4,512x512,512,2.795e+14
deepseek_v4,64x64,32,6.087e+14
deepseek_v4,64x64,64,1.146e+15
deepseek_v4,64x64,128,2.292e+15
deepseek_v4,64x64,256,4.584e+15
deepseek_v4,64x64,512,9.167e+15
llama_3_1_405b,128x128,32,9.642e+14
llama_3_1_405b,128x128,64,1.521e+15
llama_3_1_405b,128x128,128,2.634e+15
llama_3_1_405b,128x128,256,5.269e+15
llama_3_1_405b,128x128,512,1.054e+16
llama_3_1_405b,256x256,32,7.602e+14
llama_3_1_405b,256x256,64,1.317e+15
llama_3_1_405b,256x256,128,2.430e+15
llama_3_1_405b,256x256,256,4.657e+15
llama_3_1_405b,256x256,512,9.314e+15
llama_3_1_405b,32x32,32,3.871e+15
llama_3_1_405b,32x32,64,7.756e+15
llama_3_1_405b,32x32,128,1.551e+16
llama_3_1_405b,32x32,256,3.099e+16
llama_3_1_405b,32x32,512,6.195e+16
llama_3_1_405b,512x512,32,6.603e+14
llama_3_1_405b,512x512,64,1.219e+15
llama_3_1_405b,512x512,128,2.336e+15
llama_3_1_405b,512x512,256,4.571e+15
llama_3_1_405b,512x512,512,9.039e+15
llama_3_1_405b,64x64,32,1.931e+15
llama_3_1_405b,64x64,64,3.049e+15
llama_3_1_405b,64x64,128,6.093e+15
llama_3_1_405b,64x64,256,1.218e+16
llama_3_1_405b,64x64,512,2.437e+16
llama_3_1_70b,128x128,32,4.229e+14
llama_3_1_70b,128x128,64,7.756e+14
llama_3_1_70b,128x128,128,1.481e+15
llama_3_1_70b,128x128,256,2.962e+15
llama_3_1_70b,128x128,512,5.925e+15
llama_3_1_70b,256x256,32,3.883e+14
llama_3_1_70b,256x256,64,7.416e+14
llama_3_1_70b,256x256,128,1.448e+15
llama_3_1_70b,256x256,256,2.861e+15
llama_3_1_70b,256x256,512,5.722e+15
llama_3_1_70b,32x32,32,1.693e+15
llama_3_1_70b,32x32,64,3.387e+15
llama_3_1_70b,32x32,128,6.775e+15
llama_3_1_70b,32x32,256,1.354e+16
llama_3_1_70b,32x32,512,2.708e+16
llama_3_1_70b,512x512,32,3.721e+14
llama_3_1_70b,512x512,64,7.268e+14
llama_3_1_70b,512x512,128,1.436e+15
llama_3_1_70b,512x512,256,2.854e+15
llama_3_1_70b,512x512,512,5.691e+15
llama_3_1_70b,64x64,32,8.458e+14
llama_3_1_70b,64x64,64,1.551e+15
llama_3_1_70b,64x64,128,3.102e+15
llama_3_1_70b,64x64,256,6.204e+15
llama_3_1_70b,64x64,512,1.241e+16
llama_3_1_8b,128x128,32,1.486e+14
llama_3_1_8b,128x128,64,2.896e+14
llama_3_1_8b,128x128,128,5.717e+14
llama_3_1_8b,128x128,256,1.143e+15
llama_3_1_8b,128x128,512,2.287e+15
llama_3_1_8b,256x256,32,1.451e+14
llama_3_1_8b,256x256,64,2.864e+14
llama_3_1_8b,256x256,128,5.689e+14
llama_3_1_8b,256x256,256,1.134e+15
llama_3_1_8b,256x256,512,2.268e+15
llama_3_1_8b,32x32,32,5.939e+14
llama_3_1_8b,32x32,64,1.188e+15
llama_3_1_8b,32x32,128,2.376e+15
llama_3_1_8b,32x32,256,4.751e+15
llama_3_1_8b,32x32,512,9.502e+15
llama_3_1_8b,512x512,32,1.437e+14
llama_3_1_8b,512x512,64,2.856e+14
llama_3_1_8b,512x512,128,5.693e+14
llama_3_1_8b,512x512,256,1.137e+15
llama_3_1_8b,512x512,512,2.271e+15
llama_3_1_8b,64x64,32,2.970e+14
llama_3_1_8b,64x64,64,5.788e+14
llama_3_1_8b,64x64,128,1.158e+15
llama_3_1_8b,64x64,256,2.315e+15
llama_3_1_8b,64x64,512,4.630e+15
