model,array_dim,batch_size,pe_count,useful_macs,cycle_count,utilization
deepseek_v4,128x128,32,16384,2.344448443012874e+18,170255040753290.28,0.8404671979534011
deepseek_v4,128x128,64,16384,4.688896886025748e+18,304697047866644.56,0.93925279579333
deepseek_v4,128x128,128,16384,9.377793772051497e+18,573581062093353.1,0.9978975004308688
deepseek_v4,128x128,256,16384,1.8755587544102994e+19,1147162124186706.2,0.9978975004308688
deepseek_v4,128x128,512,16384,3.751117508820599e+19,2294324248373412.5,0.9978975004308688
deepseek_v4,256x256,32,65536,2.344448443012874e+18,51640482771075.78,0.6927403141915818
deepseek_v4,256x256,64,65536,4.688896886025748e+18,85323329814791.56,0.8385384006342039
deepseek_v4,256x256,128,65536,9.377793772051497e+18,152690812748303.12,0.9371472616053006
deepseek_v4,256x256,256,65536,1.8755587544102994e+19,287425778615326.25,0.9956920198926784
deepseek_v4,256x256,512,65536,3.751117508820599e+19,574849768384572.5,0.995695118336593
deepseek_v4,32x32,32,1024,2.344448443012874e+18,2290683363057824.5,0.9994835905969626
deepseek_v4,32x32,64,1024,4.688896886025748e+18,4581727708889409.0,0.9994048438049694
deepseek_v4,32x32,128,1024,9.377793772051497e+18,9163455417778818.0,0.9994048438049694
deepseek_v4,32x32,256,1024,1.8755587544102994e+19,1.8326008378623236e+16,0.9994540590957698
deepseek_v4,32x32,512,1024,3.751117508820599e+19,3.665111430031207e+16,0.9994786685589052
deepseek_v4,512x512,32,262144,2.344448443012874e+18,25940875594984.855,0.344759413852978
deepseek_v4,512x512,64,262144,4.688896886025748e+18,42846949841361.71,0.4174561362277718
deepseek_v4,512x512,128,262144,9.377793772051497e+18,76659098334115.42,0.46665620959853926
deepseek_v4,512x512,256,262144,1.8755587544102994e+19,144283167305542.84,0.4958782778047001
deepseek_v4,512x512,512,262144,3.751117508820599e+19,279531305248397.7,0.5119060883438573
deepseek_v4,64x64,32,4096,2.344448443012874e+18,608728849294180.9,0.9402792537615181
deepseek_v4,64x64,64,4096,4.688896886025748e+18,1145972803978953.8,0.9989331442597689
deepseek_v4,64x64,128,4096,9.377793772051497e+18,2291832800841107.5,0.9989823131030799
deepseek_v4,64x64,256,4096,1.8755587544102994e+19,4583552794565415.0,0.9990068993398981
deepseek_v4,64x64,512,4096,3.751117508820599e+19,9167105589130830.0,0.9990068993398981
llama_3_1_405b,128x128,32,16384,2.828634127211692e+18,964189607770615.8,0.1790582729133927
llama_3_1_405b,128x128,64,16384,5.657268254423384e+18,1520896650146799.2,0.22703202865465438
llama_3_1_405b,128x128,128,16384,1.1314536508846768e+19,2634310734899166.5,0.26214997895463743
llama_3_1_405b,128x128,256,16384,2.2629073017693536e+19,5268621469798333.0,0.26214997895463743
llama_3_1_405b,128x128,512,16384,4.525814603538707e+19,1.0537242939596666e+16,0.26214997895463743
llama_3_1_405b,256x256,32,65536,2.828634127211692e+18,760227463888486.4,0.05677449649259597
llama_3_1_405b,256x256,64,65536,5.657268254423384e+18,1316902901906636.8,0.0655500590356691
llama_3_1_405b,256x256,128,65536,1.1314536508846768e+19,2430316863551897.5,0.07103852527119713
llama_3_1_405b,256x256,256,65536,2.2629073017693536e+19,4657144786842419.0,0.07414247734629846
llama_3_1_405b,256x256,512,65536,4.525814603538707e+19,9314226488075878.0,0.0741429795161071
llama_3_1_405b,32x32,32,1024,2.828634127211692e+18,3871489184237797.5,0.7135078734306229
llama_3_1_405b,32x32,64,1024,5.657268254423384e+18,7755898301190603.0,0.7123192975418781
llama_3_1_405b,32x32,128,1024,1.1314536508846768e+19,1.5511796602381206e+16,0.7123192975418781
llama_3_1_405b,32x32,256,1024,2.2629073017693536e+19,3.0991293372974892e+16,0.7130616929370206
llama_3_1_405b,32x32,512,1024,4.525814603538707e+19,6.1950286914162264e+16,0.7134334712431954
llama_3_1_405b,512x512,32,262144,2.828634127211692e+18,660349196707246.0,0.016340419469476123
llama_3_1_405b,512x512,64,262144,5.657268254423384e+18,1218952866319196.0,0.017704348000117703
llama_3_1_405b,512x512,128,262144,1.1314536508846768e+19,2336160205543096.0,0.01847541593239239
llama_3_1_405b,512x512,256,262144,2.2629073017693536e+19,4570566998207856.0,0.018886729589145446
llama_3_1_405b,512x512,512,262144,4.525814603538707e+19,9039380583537376.0,0.019099331456723163
