model,array_dim,batch_size,pe_count,useful_macs,cycle_count,utilization
llama_3_1_8b,256x256,512,65536,1.657e+18,2.268e+15,0.0111
llama_3_1_8b,32x32,32,1024,1.036e+17,5.939e+14,0.1703
llama_3_1_8b,32x32,64,1024,2.071e+17,1.188e+15,0.1702
llama_3_1_8b,32x32,128,1024,4.142e+17,2.376e+15,0.1702
llama_3_1_8b,32x32,256,1024,8.284e+17,4.751e+15,0.1703
llama_3_1_8b,32x32,512,1024,1.657e+18,9.502e+15,0.1703
llama_3_1_8b,512x512,32,262144,1.036e+17,1.437e+14,0.0027
llama_3_1_8b,512x512,64,262144,2.071e+17,2.856e+14,0.0028
llama_3_1_8b,512x512,128,262144,4.142e+17,5.693e+14,0.0028
llama_3_1_8b,512x512,256,262144,8.284e+17,1.137e+15,0.0028
llama_3_1_8b,512x512,512,262144,1.657e+18,2.271e+15,0.0028
llama_3_1_8b,64x64,32,4096,1.036e+17,2.970e+14,0.0851
llama_3_1_8b,64x64,64,4096,2.071e+17,5.788e+14,0.0874
llama_3_1_8b,64x64,128,4096,4.142e+17,1.158e+15,0.0874
llama_3_1_8b,64x64,256,4096,8.284e+17,2.315e+15,0.0874
llama_3_1_8b,64x64,512,4096,1.657e+18,4.630e+15,0.0874
