gemm_class,model,array_dim,batch_size,max_seq_len,frequency,asram_size,wsram_size,osram_size,isram_active_elements,wsram_active_elements,active_fraction,input_data_moved,weight_data_moved,output_read_data_moved,output_write_data_moved,output_data_moved,total_data_moved,array_cycle_count,sram_cycle_count,window_cycle_count,sram_stall_cycle_count,dram_cycle_count,dram_stall_cycle_count,input_dram_bandwidth,weight_dram_bandwidth,output_dram_bandwidth,total_required_bandwidth
attention,deepseek_v4,256x512,256,1048576,1000,37748736,37748736,37748736,1179648,1179648,0.5,2142513297096704.0,8.790992944686432e+18,2951514947584.0,2145464812044288.0,2148416326991872.0,8.795283874310521e+18,8594683253826254.0,8588140939837440.0,8594683253826254.0,0.0,3.4339831273488384e+16,2.5745182128004404e+16,0.24928356680775662,1022.8408290407659,0.2499703902450881,1023.3400829978187
attention,deepseek_v4,256x512,256,1048576,1000,39845888,39845888,39845888,1245184,1245184,0.5,2142513297096704.0,8.790992944686432e+18,2937187205120.0,2145450484301824.0,2148387671506944.0,8.795283845655036e+18,8594683253826254.0,8588140939837440.0,8594683253826254.0,0.0,3.433983121752064e+16,2.5745182128004404e+16,0.24928356680775662,1022.8408290407659,0.2499670561507321,1023.3400796637244
attention,deepseek_v4,256x512,256,1048576,1000,41943040,41943040,41943040,1310720,1310720,0.5,2142513297096704.0,8.790992944686432e+18,2922859462656.0,2145436156559360.0,2148359016022016.0,8.795283816999551e+18,8594683765531342.0,8588140939837440.0,8594683765531342.0,0.0,3.4339831161552896e+16,2.5745182128004404e+16,0.24928355196606225,1022.8407681434866,0.24996370717418706,1023.3400154026268
attention,deepseek_v4,256x512,256,1048576,1000,44040192,44040192,44040192,1376256,1376256,0.5,2142513297096704.0,8.790992944686432e+18,2908531720192.0,2145421828816896.0,2148330360537088.0,8.795283788344066e+18,8594683397743310.0,8588140939837440.0,8594683397743310.0,0.0,3.433983110558515e+16,2.5745182128004404e+16,0.24928356263352988,1022.8408119134052,0.2499603837764601,1023.3400558598152
attention,deepseek_v4,256x512,256,1048576,1000,46137344,46137344,46137344,1441792,1441792,0.5,2142513297096704.0,8.790992944686432e+18,2894203977728.0,2145407501074432.0,2148301705052160.0,8.795283759688581e+18,8594683637605070.0,8588140939837440.0,8594683637605070.0,0.0,3.433983104961741e+16,2.5745182128004404e+16,0.24928355567648572,1022.8407833678059,0.24995704270632,1023.3400239661887
attention,deepseek_v4,256x512,256,1048576,1000,48234496,48234496,48234496,1507328,1507328,0.5,2142513297096704.0,8.790992944686432e+18,2879876235264.0,2145393173331968.0,2148273049567232.0,8.795283731033096e+18,8594683685577422.0,8588140939837440.0,8594683685577422.0,0.0,3.4339830993649664e+16,2.5745182128004404e+16,0.2492835542850769,1022.8407776586861,0.24995370721696353,1023.340014920188
attention,deepseek_v4,256x512,256,1048576,1000,50331648,50331648,50331648,1572864,1572864,0.5,2142513297096704.0,8.790992944686432e+18,2865548492800.0,2145378845589504.0,2148244394082304.0,8.795283702377611e+18,8594683541660366.0,8588140939837440.0,8594683541660366.0,0.0,3.433983093768192e+16,2.5745182128004404e+16,0.2492835584593033,1022.8407947860453,0.24995037730816727,1023.3400287218127
attention,deepseek_v4,256x512,256,1048576,1000,52428800,52428800,52428800,1638400,1638400,0.5,2142513297096704.0,8.790992944686432e+18,2851220750336.0,2145364517847040.0,2148215738597376.0,8.795283673722126e+18,8594683205853902.0,8588140939837440.0,8594683205853902.0,0.0,3.4339830881714176e+16,2.5745182128004404e+16,0.24928356819916556,1022.8408347498861,0.24994705297970848,1023.340065371065
attention,deepseek_v4,256x512,256,1048576,1000,54525952,54525952,54525952,1703936,1703936,0.5,2142513297096704.0,8.790992944686432e+18,2836893007872.0,2145350190104576.0,2148187083112448.0,8.795283645066641e+18,8594683717558990.0,8588140939837440.0,8594683717558990.0,0.0,3.433983082574643e+16,2.5745182128004404e+16,0.24928355335747104,1022.8407738526063,0.24994370400433577,1023.3400011099682
attention,deepseek_v4,256x512,256,1048576,1000,56623104,56623104,56623104,1769472,1769472,0.5,2142513297096704.0,8.790992944686432e+18,2822565265408.0,2145335862362112.0,2148158427627520.0,8.795283616411156e+18,8594683253826254.0,8588140939837440.0,8594683253826254.0,0.0,3.433983076977869e+16,2.5745182128004404e+16,0.24928356680775662,1022.8408290407659,0.2499403833958843,1023.3400529909696
