model,array_dim,batch_size,pe_count,useful_macs,compute_cycle_count,with_load_cycle_count,utilization,utilization_with_load
llama_3_1_70b,256x256,32,65536,6.519e+17,1.550e+13,3.883e+14,0.6418,0.0256
llama_3_1_70b,256x256,64,65536,1.304e+18,3.099e+13,7.416e+14,0.6420,0.0268
llama_3_1_70b,256x256,128,65536,2.608e+18,6.197e+13,1.448e+15,0.6420,0.0275
llama_3_1_70b,256x256,256,65536,5.215e+18,1.239e+14,2.861e+15,0.6420,0.0278
llama_3_1_70b,256x256,512,65536,1.043e+19,2.479e+14,5.722e+15,0.6421,0.0278
llama_3_1_70b,32x32,32,1024,6.519e+17,6.368e+14,1.693e+15,0.9997,0.3761
llama_3_1_70b,32x32,64,1024,1.304e+18,1.276e+15,3.387e+15,0.9980,0.3759
llama_3_1_70b,32x32,128,1024,2.608e+18,2.552e+15,6.775e+15,0.9980,0.3759
llama_3_1_70b,32x32,256,1024,5.215e+18,5.098e+15,1.354e+16,0.9991,0.3760
llama_3_1_70b,32x32,512,1024,1.043e+19,1.019e+16,2.708e+16,0.9996,0.3761
llama_3_1_70b,512x512,32,262144,6.519e+17,6.656e+12,3.721e+14,0.3736,0.0067
llama_3_1_70b,512x512,64,262144,1.304e+18,1.331e+13,7.268e+14,0.3736,0.0068
llama_3_1_70b,512x512,128,262144,2.608e+18,2.663e+13,1.436e+15,0.3736,0.0069
llama_3_1_70b,512x512,256,262144,5.215e+18,5.325e+13,2.854e+15,0.3736,0.0070
llama_3_1_70b,512x512,512,262144,1.043e+19,1.065e+14,5.691e+15,0.3736,0.0070
llama_3_1_70b,64x64,32,4096,6.519e+17,1.595e+14,8.458e+14,0.9977,0.1882
llama_3_1_70b,64x64,64,4096,1.304e+18,3.190e+14,1.551e+15,0.9977,0.2052
llama_3_1_70b,64x64,128,4096,2.608e+18,6.374e+14,3.102e+15,0.9988,0.2052
llama_3_1_70b,64x64,256,4096,5.215e+18,1.274e+15,6.204e+15,0.9993,0.2052
llama_3_1_70b,64x64,512,4096,1.043e+19,2.548e+15,1.241e+16,0.9993,0.2052
llama_3_1_8b,128x128,32,16384,1.036e+17,6.337e+12,1.486e+14,0.9974,0.0425
llama_3_1_8b,128x128,64,16384,2.071e+17,1.266e+13,2.896e+14,0.9981,0.0436
llama_3_1_8b,128x128,128,16384,4.142e+17,2.532e+13,5.717e+14,0.9985,0.0442
llama_3_1_8b,128x128,256,16384,8.284e+17,5.064e+13,1.143e+15,0.9985,0.0442
llama_3_1_8b,128x128,512,16384,1.657e+18,1.013e+14,2.287e+15,0.9985,0.0442
llama_3_1_8b,256x256,32,65536,1.036e+17,2.690e+12,1.451e+14,0.5875,0.0109
llama_3_1_8b,256x256,64,65536,2.071e+17,5.378e+12,2.864e+14,0.5876,0.0110
llama_3_1_8b,256x256,128,65536,4.142e+17,1.076e+13,5.689e+14,0.5876,0.0111
llama_3_1_8b,256x256,256,65536,8.284e+17,2.151e+13,1.134e+15,0.5876,0.0111
llama_3_1_8b,256x256,512,65536,1.657e+18,4.302e+13,2.268e+15,0.5876,0.0111
llama_3_1_8b,32x32,32,1024,1.036e+17,1.012e+14,5.939e+14,0.9997,0.1703
llama_3_1_8b,32x32,64,1024,2.071e+17,2.026e+14,1.188e+15,0.9985,0.1702
llama_3_1_8b,32x32,128,1024,4.142e+17,4.051e+14,2.376e+15,0.9985,0.1702
llama_3_1_8b,32x32,256,1024,8.284e+17,8.096e+14,4.751e+15,0.9992,0.1703
llama_3_1_8b,32x32,512,1024,1.657e+18,1.619e+15,9.502e+15,0.9996,0.1703
llama_3_1_8b,512x512,32,262144,1.036e+17,1.229e+12,1.437e+14,0.3214,0.0027
llama_3_1_8b,512x512,64,262144,2.071e+17,2.458e+12,2.856e+14,0.3214,0.0028
llama_3_1_8b,512x512,128,262144,4.142e+17,4.916e+12,5.693e+14,0.3214,0.0028
llama_3_1_8b,512x512,256,262144,8.284e+17,9.831e+12,1.137e+15,0.3214,0.0028
llama_3_1_8b,512x512,512,262144,1.657e+18,1.966e+13,2.271e+15,0.3214,0.0028
llama_3_1_8b,64x64,32,4096,1.036e+17,2.533e+13,2.970e+14,0.9981,0.0851
llama_3_1_8b,64x64,64,4096,2.071e+17,5.066e+13,5.788e+14,0.9981,0.0874
llama_3_1_8b,64x64,128,4096,4.142e+17,1.012e+14,1.158e+15,0.9989,0.0874
llama_3_1_8b,64x64,256,4096,8.284e+17,2.024e+14,2.315e+15,0.9992,0.0874
llama_3_1_8b,64x64,512,4096,1.657e+18,4.048e+14,4.630e+15,0.9992,0.0874
