carbon,layer,arch,subarch,arch_dim,model
1.4223969171452031e-06,nonlinear,carat,,128x8,llama_2_13b
8.987068734857177e-06,onchip_em,carat,,128x8,llama_2_13b
5.647723286152266e-05,projection,carat,,128x8,llama_2_70b
5.358175399843724e-05,attention,carat,,128x8,llama_2_70b
0.00014825251070974923,ffn,carat,,128x8,llama_2_70b
4.5000430875615534e-06,nonlinear,carat,,128x8,llama_2_70b
4.580483691689356e-05,onchip_em,carat,,128x8,llama_2_70b
3.176844348460649e-05,projection,carat,,128x8,llama_2_70b_GQA
7.059147845382625e-06,attention,carat,,128x8,llama_2_70b_GQA
0.00014825251070974923,ffn,carat,,128x8,llama_2_70b_GQA
4.5000430875615534e-06,nonlinear,carat,,128x8,llama_2_70b_GQA
3.288368533417949e-05,onchip_em,carat,,128x8,llama_2_70b_GQA
5.337143935063464e-06,projection,carat,,256x8,llama_2_7b
1.344717556624716e-05,attention,carat,,256x8,llama_2_7b
1.0757610542052395e-05,ffn,carat,,256x8,llama_2_7b
8.089335889561839e-07,nonlinear,carat,,256x8,llama_2_7b
4.751142349914941e-06,onchip_em,carat,,256x8,llama_2_7b
1.0035811914895126e-05,projection,carat,,256x8,llama_2_13b
2.0899503126070192e-05,attention,carat,,256x8,llama_2_13b
2.032243072506869e-05,ffn,carat,,256x8,llama_2_13b
1.4407981944673742e-06,nonlinear,carat,,256x8,llama_2_13b
8.389811972979561e-06,onchip_em,carat,,256x8,llama_2_13b
4.740765824519151e-05,projection,carat,,256x8,llama_2_70b
6.616347434780226e-05,attention,carat,,256x8,llama_2_70b
0.00012444489488752433,ffn,carat,,256x8,llama_2_70b
4.2131793556447635e-06,nonlinear,carat,,256x8,llama_2_70b
4.030380217379018e-05,onchip_em,carat,,256x8,llama_2_70b
2.6666807762920227e-05,projection,carat,,256x8,llama_2_70b_GQA
8.68660776764366e-06,attention,carat,,256x8,llama_2_70b_GQA
0.00012444489488752433,ffn,carat,,256x8,llama_2_70b_GQA
4.2131793556447635e-06,nonlinear,carat,,256x8,llama_2_70b_GQA
2.6585045494926776e-05,onchip_em,carat,,256x8,llama_2_70b_GQA
6.726925640779623e-06,projection,systolic,mac,16x16,llama_2_7b
1.1793045212341545e-05,attention,systolic,mac,16x16,llama_2_7b
1.3558889292636529e-05,ffn,systolic,mac,16x16,llama_2_7b
2.921841415135635e-06,nonlinear,systolic,mac,16x16,llama_2_7b
5.638464247431376e-06,onchip_em,systolic,mac,16x16,llama_2_7b
1.2764556649536102e-05,projection,systolic,mac,16x16,llama_2_13b
1.8325957188002465e-05,attention,systolic,mac,16x16,llama_2_13b
2.5848138812716656e-05,ffn,systolic,mac,16x16,llama_2_13b
4.568424219411483e-06,nonlinear,systolic,mac,16x16,llama_2_13b
1.0056565921022013e-05,onchip_em,systolic,mac,16x16,llama_2_13b
6.152554325495367e-05,projection,systolic,mac,16x16,llama_2_70b
5.799873686909881e-05,attention,systolic,mac,16x16,llama_2_70b
0.00016150434303814992,ffn,systolic,mac,16x16,llama_2_70b
1.5242984794185343e-05,nonlinear,systolic,mac,16x16,llama_2_70b
5.033923745354629e-05,onchip_em,systolic,mac,16x16,llama_2_70b
3.460811808091143e-05,projection,systolic,mac,16x16,llama_2_70b_GQA
7.64527409615422e-06,attention,systolic,mac,16x16,llama_2_70b_GQA
0.00016150434303814992,ffn,systolic,mac,16x16,llama_2_70b_GQA
1.5242984794185343e-05,nonlinear,systolic,mac,16x16,llama_2_70b_GQA
3.672132074162234e-05,onchip_em,systolic,mac,16x16,llama_2_70b_GQA
7.318032748397821e-06,projection,systolic,figna,16x16,llama_2_7b
1.292698262322937e-05,attention,systolic,figna,16x16,llama_2_7b
1.4750339556429462e-05,ffn,systolic,figna,16x16,llama_2_7b
3.1536853148406017e-06,nonlinear,systolic,figna,16x16,llama_2_7b
6.145655832577446e-06,onchip_em,systolic,figna,16x16,llama_2_7b
1.3909852056200456e-05,projection,systolic,figna,16x16,llama_2_13b
2.0095977960925603e-05,attention,systolic,figna,16x16,llama_2_13b
2.816736201121198e-05,ffn,systolic,figna,16x16,llama_2_13b
4.930925757249045e-06,nonlinear,systolic,figna,16x16,llama_2_13b
1.0961174939857716e-05,onchip_em,systolic,figna,16x16,llama_2_13b
6.729513854895422e-05,projection,systolic,figna,16x16,llama_2_70b
6.365156218054088e-05,attention,systolic,figna,16x16,llama_2_70b
0.00017664953068490137,ffn,systolic,figna,16x16,llama_2_70b
1.6453256758808713e-05,nonlinear,systolic,figna,16x16,llama_2_70b
5.486735655100081e-05,onchip_em,systolic,figna,16x16,llama_2_70b
3.785351543378674e-05,projection,systolic,figna,16x16,llama_2_70b_GQA
8.362218670022321e-06,attention,systolic,figna,16x16,llama_2_70b_GQA
0.00017664953068490137,ffn,systolic,figna,16x16,llama_2_70b_GQA
1.6453256758808713e-05,nonlinear,systolic,figna,16x16,llama_2_70b_GQA
4.002447991020006e-05,onchip_em,systolic,figna,16x16,llama_2_70b_GQA
6.762554601454571e-06,projection,systolic,taylor,16x16,llama_2_7b
1.1863880077544256e-05,attention,systolic,taylor,16x16,llama_2_7b
1.3630703916496972e-05,ffn,systolic,taylor,16x16,llama_2_7b
8.927366368985316e-07,nonlinear,systolic,taylor,16x16,llama_2_7b
5.33429389878278e-06,onchip_em,systolic,taylor,16x16,llama_2_7b
