arch,bitwidth,dynamic_power W,leakage_power W,baseline dynamic power W,baseline leakage power W,dynamic power percent_dif,leakage power percent_dif
32,16,7.9345703125e-09,0.0048000000000000004,8.4e-06,0.0048,-99.9055408296131,1.8070036208091743e-14
32,14,3.627232142857143e-08,0.0048000000000000004,8.4e-06,0.0048,-99.56818664965986,1.8070036208091743e-14
32,12,1.692708333333333e-07,0.0048000000000000004,8.4e-06,0.0048,-97.98487103174604,1.8070036208091743e-14
32,10,8.125e-07,0.0048000000000000004,8.4e-06,0.0048,-90.32738095238095,1.8070036208091743e-14
32,8,4.0625e-06,0.0048000000000000004,8.4e-06,0.0048,-51.63690476190476,1.8070036208091743e-14
32,6,2.1666666666666664e-05,0.0048000000000000004,8.4e-06,0.0048,157.93650793650792,1.8070036208091743e-14
32,4,0.00013,0.0048000000000000004,8.4e-06,0.0048,1447.6190476190477,1.8070036208091743e-14
