arch,bitwidth,power W,baseline power W,power_percent_dif
32,16,0.004800007934570313,0.0048084,-0.17452927022891473
32,14,0.004800036272321429,0.0048084,-0.1739399317563221
32,12,0.004800169270833334,0.0048084,-0.17117396985828923
32,10,0.0048008125,0.0048084,-0.15779677231510708
32,8,0.0048040625,0.0048084,-0.09020672157058122
32,6,0.004821666666666667,0.0048084,0.2759060532956245
32,4,0.00493,0.0048084,2.5289077447799757
