arch,archx,pnr,percent_error,archx_norm,syn_norm
96x2,1.7528953333333336e-12,4.3742493e-15,39973.05512590089,400.73055125900885,1.0
152x2,2.8349664000000003e-12,7.0338774e-15,40204.46137716305,648.103527158363,1.6080193234528266
343x2,6.285509666666668e-12,1.49137133e-14,42045.839471559826,1436.934485345101,3.4094337741564025
