arch,subarch,arch_dim,fifo,pe,tc,value_reuse,accumulator,nonlinear,vector,total
mugi,vlp,128x8,22.219489967368077,3.0250044054830547,0.33989909747253605,1.3839441287844916,19.480521104955788,1.1801627939802324,0.8248056899469466,48.45382718799113
mugi,vlp,256x8,39.116913454912904,5.946484306819,0.6355683126286096,1.6069307336225587,34.81008132230291,2.356537678578118,1.635600356507362,86.10811616537147
mugi,lut,128x8,22.219489967368077,3.0250044054830547,0.33989909747253605,1.3839441287844916,19.480521104955788,15.250759350278862,0.8248056899469466,62.52442374428976
mugi,lut,256x8,39.116913454912904,5.946484306819,0.6355683126286096,1.6069307336225587,34.81008132230291,30.498428486263442,1.635600356507362,114.25000697305678
carat,,128x8,28.075026752397815,3.6891220547395474,0.9449060049717729,1.7985153558032774,21.370312607779876,0.0,14.146814423818457,70.02469719951074
carat,,256x8,73.17421874816611,7.2004394439674355,1.764495387597917,2.1948581473817006,37.14215170692585,0.0,28.233459168251223,149.70962260229024
systolic,figna,8x8,2.846684775766702,27.150214311943667,0.0,0.0,10.492403112741467,0.0,0.9807091762290925,41.47001137668092
systolic,figna,16x16,6.992504585999428,76.61507216884227,0.0,0.0,27.42088819132528,0.0,1.9563733924494684,112.98483833861644
simd,figna,8x8,2.846684775766702,25.07315082627138,0.0,0.0,9.32658054465908,0.0,0.9608839083381725,38.20730005503534
simd,figna,16x16,6.992504585999428,71.27090378647233,0.0,0.0,25.807894768306145,0.0,1.9224876292415698,105.99379077001947
