arch,subarch,arch_dim,accumulator,fifo,pe,nonlinear,vector,tc,value_reuse,total
mugi,vlp,128x8,70.50524459826782,39.1927520806457,2.229536078294129,1.3418414532165734,0.48301968607074786,0.2366063926168722,3.3510269268622146,117.34002721597406
mugi,vlp,256x8,118.14885489485285,66.2176091117421,4.1293402037501865,2.6520845881008657,0.8958172480185482,0.4149008821347652,3.2753440144591517,195.7339509430585
mugi,lut,128x8,70.50524459826782,39.1927520806457,2.229536078294129,6.080363745628717,0.48301968607074786,0.2366063926168722,3.3510269268622146,122.0785495083862
mugi,lut,256x8,118.14885489485285,66.2176091117421,4.1293402037501865,12.157080941405804,0.8958172480185482,0.4149008821347652,3.2753440144591517,205.23894729636342
carat,,128x8,75.71789478940863,78.79128695858854,2.6372747986716885,0.0,5.671264081782349,0.7090703451965571,4.730062630127178,168.2568536037749
carat,,256x8,123.43331063685801,179.74575318852064,4.854879212830317,0.0,11.04134028769337,1.2446659087393288,4.631808543840315,324.9517577784819
systolic,figna,8x8,37.09604025996215,5.735983854178528,64.47642166247729,0.0,0.728747921209617,0.0,0.0,108.03719369782759
systolic,figna,16x16,72.85439396478145,12.62583765143316,134.71190813319936,0.0,1.4539909184043427,0.0,0.0,221.6461306678183
simd,figna,8x8,32.97425800885525,5.735983854178528,59.40176021438715,0.0,0.7384474071097951,0.0,0.0,98.85044948453071
simd,figna,16x16,68.56884137861785,12.62583765143316,126.98656608835992,0.0,1.4804981341249064,0.0,0.0,209.6617432525358
