carbon,layer,arch,subarch,arch_dim,model
4.4009670878274325e-05,projection,mugi,lut,256x8,llama_2_70b
6.289145365724693e-05,attention,mugi,lut,256x8,llama_2_70b
0.00011552516473354534,ffn,mugi,lut,256x8,llama_2_70b
1.4109748849060602e-06,nonlinear,mugi,lut,256x8,llama_2_70b
3.822634432887128e-05,onchip_em,mugi,lut,256x8,llama_2_70b
2.4755439869789267e-05,projection,mugi,lut,256x8,llama_2_70b_GQA
8.134573241256948e-06,attention,mugi,lut,256x8,llama_2_70b_GQA
0.00011552516473354534,ffn,mugi,lut,256x8,llama_2_70b_GQA
1.4109748849060602e-06,nonlinear,mugi,lut,256x8,llama_2_70b_GQA
2.5171580510372265e-05,onchip_em,mugi,lut,256x8,llama_2_70b_GQA
6.173739219162422e-06,projection,carat,,128x8,llama_2_7b
1.0905795955619562e-05,attention,carat,,128x8,llama_2_7b
1.2443866989909392e-05,ffn,carat,,128x8,llama_2_7b
8.639708323490521e-07,nonlinear,carat,,128x8,llama_2_7b
4.989381875384572e-06,onchip_em,carat,,128x8,llama_2_7b
1.1715593229743236e-05,projection,carat,,128x8,llama_2_13b
1.6941636820676872e-05,attention,carat,,128x8,llama_2_13b
2.3723980430737264e-05,ffn,carat,,128x8,llama_2_13b
1.4223969171452031e-06,nonlinear,carat,,128x8,llama_2_13b
8.987068734857176e-06,onchip_em,carat,,128x8,llama_2_13b
5.647723286152266e-05,projection,carat,,128x8,llama_2_70b
5.358175399843724e-05,attention,carat,,128x8,llama_2_70b
0.00014825251070974923,ffn,carat,,128x8,llama_2_70b
4.5000430875615534e-06,nonlinear,carat,,128x8,llama_2_70b
4.5804836916893545e-05,onchip_em,carat,,128x8,llama_2_70b
3.176844348460649e-05,projection,carat,,128x8,llama_2_70b_GQA
7.059147845382625e-06,attention,carat,,128x8,llama_2_70b_GQA
0.00014825251070974923,ffn,carat,,128x8,llama_2_70b_GQA
4.5000430875615534e-06,nonlinear,carat,,128x8,llama_2_70b_GQA
3.288368533417949e-05,onchip_em,carat,,128x8,llama_2_70b_GQA
5.337143935063464e-06,projection,carat,,256x8,llama_2_7b
1.3447175566247164e-05,attention,carat,,256x8,llama_2_7b
1.0757610542052396e-05,ffn,carat,,256x8,llama_2_7b
8.089335889561839e-07,nonlinear,carat,,256x8,llama_2_7b
4.751142349914941e-06,onchip_em,carat,,256x8,llama_2_7b
1.0035811914895128e-05,projection,carat,,256x8,llama_2_13b
2.0899503126070195e-05,attention,carat,,256x8,llama_2_13b
2.0322430725068693e-05,ffn,carat,,256x8,llama_2_13b
1.4407981944673742e-06,nonlinear,carat,,256x8,llama_2_13b
8.389811972979561e-06,onchip_em,carat,,256x8,llama_2_13b
4.7407658245191524e-05,projection,carat,,256x8,llama_2_70b
6.616347434780227e-05,attention,carat,,256x8,llama_2_70b
0.00012444489488752436,ffn,carat,,256x8,llama_2_70b
4.213179355644764e-06,nonlinear,carat,,256x8,llama_2_70b
4.030380217379018e-05,onchip_em,carat,,256x8,llama_2_70b
2.6666807762920234e-05,projection,carat,,256x8,llama_2_70b_GQA
8.686607767643661e-06,attention,carat,,256x8,llama_2_70b_GQA
0.00012444489488752436,ffn,carat,,256x8,llama_2_70b_GQA
4.213179355644764e-06,nonlinear,carat,,256x8,llama_2_70b_GQA
2.6585045494926776e-05,onchip_em,carat,,256x8,llama_2_70b_GQA
6.726925640779623e-06,projection,systolic,mac,16x16,llama_2_7b
1.1793045212341545e-05,attention,systolic,mac,16x16,llama_2_7b
1.3558889292636529e-05,ffn,systolic,mac,16x16,llama_2_7b
2.921841415135635e-06,nonlinear,systolic,mac,16x16,llama_2_7b
5.638464247431376e-06,onchip_em,systolic,mac,16x16,llama_2_7b
1.2764556649536102e-05,projection,systolic,mac,16x16,llama_2_13b
1.8325957188002465e-05,attention,systolic,mac,16x16,llama_2_13b
2.5848138812716656e-05,ffn,systolic,mac,16x16,llama_2_13b
4.568424219411483e-06,nonlinear,systolic,mac,16x16,llama_2_13b
1.0056565921022013e-05,onchip_em,systolic,mac,16x16,llama_2_13b
6.152554325495367e-05,projection,systolic,mac,16x16,llama_2_70b
5.799873686909881e-05,attention,systolic,mac,16x16,llama_2_70b
0.00016150434303814992,ffn,systolic,mac,16x16,llama_2_70b
1.5242984794185343e-05,nonlinear,systolic,mac,16x16,llama_2_70b
5.033923745354629e-05,onchip_em,systolic,mac,16x16,llama_2_70b
3.460811808091143e-05,projection,systolic,mac,16x16,llama_2_70b_GQA
7.64527409615422e-06,attention,systolic,mac,16x16,llama_2_70b_GQA
0.00016150434303814992,ffn,systolic,mac,16x16,llama_2_70b_GQA
1.5242984794185343e-05,nonlinear,systolic,mac,16x16,llama_2_70b_GQA
3.672132074162234e-05,onchip_em,systolic,mac,16x16,llama_2_70b_GQA
7.318032748397821e-06,projection,systolic,figna,16x16,llama_2_7b
1.292698262322937e-05,attention,systolic,figna,16x16,llama_2_7b
1.4750339556429462e-05,ffn,systolic,figna,16x16,llama_2_7b
3.1536853148406017e-06,nonlinear,systolic,figna,16x16,llama_2_7b
6.145655832577446e-06,onchip_em,systolic,figna,16x16,llama_2_7b
1.3909852056200456e-05,projection,systolic,figna,16x16,llama_2_13b
2.0095977960925603e-05,attention,systolic,figna,16x16,llama_2_13b
2.816736201121198e-05,ffn,systolic,figna,16x16,llama_2_13b
4.930925757249045e-06,nonlinear,systolic,figna,16x16,llama_2_13b
1.0961174939857716e-05,onchip_em,systolic,figna,16x16,llama_2_13b
6.729513854895422e-05,projection,systolic,figna,16x16,llama_2_70b
6.365156218054088e-05,attention,systolic,figna,16x16,llama_2_70b
0.00017664953068490137,ffn,systolic,figna,16x16,llama_2_70b
1.6453256758808713e-05,nonlinear,systolic,figna,16x16,llama_2_70b
5.486735655100081e-05,onchip_em,systolic,figna,16x16,llama_2_70b
3.785351543378674e-05,projection,systolic,figna,16x16,llama_2_70b_GQA
8.362218670022321e-06,attention,systolic,figna,16x16,llama_2_70b_GQA
0.00017664953068490137,ffn,systolic,figna,16x16,llama_2_70b_GQA
1.6453256758808713e-05,nonlinear,systolic,figna,16x16,llama_2_70b_GQA
4.002447991020006e-05,onchip_em,systolic,figna,16x16,llama_2_70b_GQA
6.762554601454571e-06,projection,systolic,taylor,16x16,llama_2_7b
1.1863880077544256e-05,attention,systolic,taylor,16x16,llama_2_7b
1.3630703916496972e-05,ffn,systolic,taylor,16x16,llama_2_7b
8.927366368985316e-07,nonlinear,systolic,taylor,16x16,llama_2_7b
5.33429389878278e-06,onchip_em,systolic,taylor,16x16,llama_2_7b
1.2834144463354358e-05,projection,systolic,taylor,16x16,llama_2_13b
1.8436636664881698e-05,attention,systolic,taylor,16x16,llama_2_13b
2.5989054135698628e-05,ffn,systolic,taylor,16x16,llama_2_13b
1.3957868088416783e-06,nonlinear,systolic,taylor,16x16,llama_2_13b
9.587244706752244e-06,onchip_em,systolic,taylor,16x16,llama_2_13b
6.188183286170312e-05,projection,systolic,taylor,16x16,llama_2_70b
5.835291119511236e-05,attention,systolic,taylor,16x16,llama_2_70b
0.00016243960325586725,ffn,systolic,taylor,16x16,llama_2_70b
4.64793243153903e-06,nonlinear,systolic,taylor,16x16,llama_2_70b
4.8857020175695e-05,onchip_em,systolic,taylor,16x16,llama_2_70b
3.4808530984708e-05,projection,systolic,taylor,16x16,llama_2_70b_GQA
7.689555327113215e-06,attention,systolic,taylor,16x16,llama_2_70b_GQA
0.00016243960325586725,ffn,systolic,taylor,16x16,llama_2_70b_GQA
4.64793243153903e-06,nonlinear,systolic,taylor,16x16,llama_2_70b_GQA
3.51703059454728e-05,onchip_em,systolic,taylor,16x16,llama_2_70b_GQA
6.951780945877818e-06,projection,systolic,pwl,16x16,llama_2_7b
1.2240085904099475e-05,attention,systolic,pwl,16x16,llama_2_7b
1.4012113266975076e-05,ffn,systolic,pwl,16x16,llama_2_7b
4.5790171148557906e-07,nonlinear,systolic,pwl,16x16,llama_2_7b
5.486778815242908e-06,onchip_em,systolic,pwl,16x16,llama_2_7b
1.3203727167306011e-05,projection,systolic,pwl,16x16,llama_2_13b
1.902445826887423e-05,attention,systolic,pwl,16x16,llama_2_13b
2.6737459111200722e-05,ffn,systolic,pwl,16x16,llama_2_13b
7.158968942557583e-07,nonlinear,systolic,pwl,16x16,llama_2_13b
9.872830901653953e-06,onchip_em,systolic,pwl,16x16,llama_2_13b
6.37740963059356e-05,projection,systolic,pwl,16x16,llama_2_70b
6.023394032788846e-05,attention,systolic,pwl,16x16,llama_2_70b
0.00016740679479697752,ffn,systolic,pwl,16x16,llama_2_70b
2.378006329812418e-06,nonlinear,systolic,pwl,16x16,llama_2_70b
5.044789985303519e-05,onchip_em,systolic,pwl,16x16,llama_2_70b
3.587292917208877e-05,projection,systolic,pwl,16x16,llama_2_70b_GQA
7.924734105898748e-06,attention,systolic,pwl,16x16,llama_2_70b_GQA
0.00016740679479697752,ffn,systolic,pwl,16x16,llama_2_70b_GQA
2.378006329812418e-06,nonlinear,systolic,pwl,16x16,llama_2_70b_GQA
3.624339495748944e-05,onchip_em,systolic,pwl,16x16,llama_2_70b_GQA
6.604430408037382e-06,projection,simd,mac,16x16,llama_2_7b
1.1623192169875873e-05,attention,simd,mac,16x16,llama_2_7b
1.3311984839140447e-05,ffn,simd,mac,16x16,llama_2_7b
2.913102520894117e-06,nonlinear,simd,mac,16x16,llama_2_7b
5.5580517398674834e-06,onchip_em,simd,mac,16x16,llama_2_7b
1.2541830419119732e-05,projection,simd,mac,16x16,llama_2_13b
1.8063814582126198e-05,attention,simd,mac,16x16,llama_2_13b
2.5397118196123513e-05,ffn,simd,mac,16x16,llama_2_13b
4.5547604456154876e-06,nonlinear,simd,mac,16x16,llama_2_13b
9.913145009280069e-06,onchip_em,simd,mac,16x16,llama_2_13b
6.055437301060309e-05,projection,simd,mac,16x16,llama_2_70b
5.718069827734337e-05,attention,simd,mac,16x16,llama_2_70b
0.0001589550211467297,ffn,simd,mac,16x16,llama_2_70b
1.519736600190408e-05,nonlinear,simd,mac,16x16,llama_2_70b
4.962132843881095e-05,onchip_em,simd,mac,16x16,llama_2_70b
3.406183481846423e-05,projection,simd,mac,16x16,llama_2_70b_GQA
7.524782494291984e-06,attention,simd,mac,16x16,llama_2_70b_GQA
0.0001589550211467297,ffn,simd,mac,16x16,llama_2_70b_GQA
1.519736600190408e-05,nonlinear,simd,mac,16x16,llama_2_70b_GQA
3.619762255851565e-05,onchip_em,simd,mac,16x16,llama_2_70b_GQA
7.195537515655581e-06,projection,simd,figna,16x16,llama_2_7b
1.2757129580763705e-05,attention,simd,figna,16x16,llama_2_7b
1.4503435102933378e-05,ffn,simd,figna,16x16,llama_2_7b
3.144946420599085e-06,nonlinear,simd,figna,16x16,llama_2_7b
6.0652433250135545e-06,onchip_em,simd,figna,16x16,llama_2_7b
1.3687125825784092e-05,projection,simd,figna,16x16,llama_2_13b
1.9833835355049346e-05,attention,simd,figna,16x16,llama_2_13b
2.771634139461884e-05,ffn,simd,figna,16x16,llama_2_13b
4.91726198345305e-06,nonlinear,simd,figna,16x16,llama_2_13b
1.0817754028115776e-05,onchip_em,simd,figna,16x16,llama_2_13b
6.632396830460366e-05,projection,simd,figna,16x16,llama_2_70b
6.283352358878547e-05,attention,simd,figna,16x16,llama_2_70b
0.0001741002087934812,ffn,simd,figna,16x16,llama_2_70b
1.640763796652746e-05,nonlinear,simd,figna,16x16,llama_2_70b
5.4149447536265485e-05,onchip_em,simd,figna,16x16,llama_2_70b
3.7307232171339554e-05,projection,simd,figna,16x16,llama_2_70b_GQA
8.241727068160087e-06,attention,simd,figna,16x16,llama_2_70b_GQA
0.0001741002087934812,ffn,simd,figna,16x16,llama_2_70b_GQA
1.640763796652746e-05,nonlinear,simd,figna,16x16,llama_2_70b_GQA
3.950078172709339e-05,onchip_em,simd,figna,16x16,llama_2_70b_GQA
