carbon,layer,arch,subarch,arch_dim,model,normalized_carbon
4.400914762423988e-05,projection,mugi,lut,256x8,llama_2_70b,0.19321174753608517
6.289138922555049e-05,attention,mugi,lut,256x8,llama_2_70b,0.2761097606568472
0.00011552379119170496,ffn,mugi,lut,256x8,llama_2_70b,0.5071798656206907
1.4109748849060602e-06,nonlinear,mugi,lut,256x8,llama_2_70b,0.006194551313965267
3.822634432887128e-05,onchip_em,mugi,lut,256x8,llama_2_70b,0.167823718213286
2.4755145539394893e-05,projection,mugi,lut,256x8,llama_2_70b_GQA,0.16241821092095435
8.134508809560516e-06,attention,mugi,lut,256x8,llama_2_70b_GQA,0.053370414060666276
0.00011552379119170496,ffn,mugi,lut,256x8,llama_2_70b_GQA,0.75795019885071
1.4109748849060602e-06,nonlinear,mugi,lut,256x8,llama_2_70b_GQA,0.00925738917980296
2.5171580510372265e-05,onchip_em,mugi,lut,256x8,llama_2_70b_GQA,0.1651504357363338
6.173739219162422e-06,projection,carat,,128x8,llama_2_7b,0.2212029585427884
1.0905795955619562e-05,attention,carat,,128x8,llama_2_7b,0.3907509282477124
1.2443866989909392e-05,ffn,carat,,128x8,llama_2_7b,0.4458594858262158
8.639708323490521e-07,nonlinear,carat,,128x8,llama_2_7b,0.030955778568861166
4.989381875384572e-06,onchip_em,carat,,128x8,llama_2_7b,0.17876784116653463
1.1715593229743236e-05,projection,carat,,128x8,llama_2_13b,0.2410885179553525
1.6941636820676872e-05,attention,carat,,128x8,llama_2_13b,0.34863229140333796
2.3723980430737264e-05,ffn,carat,,128x8,llama_2_13b,0.488202276221704
1.4223969171452031e-06,nonlinear,carat,,128x8,llama_2_13b,0.02927069572782658
8.987068734857177e-06,onchip_em,carat,,128x8,llama_2_13b,0.18493976698925452
5.647723286152266e-05,projection,carat,,128x8,llama_2_70b,0.24794992510072916
5.358175399843724e-05,attention,carat,,128x8,llama_2_70b,0.2352380103900158
0.00014825251070974923,ffn,carat,,128x8,llama_2_70b,0.6508675631578441
4.5000430875615534e-06,nonlinear,carat,,128x8,llama_2_70b,0.01975637420563347
4.580483691689356e-05,onchip_em,carat,,128x8,llama_2_70b,0.2010952964116003
3.176844348460649e-05,projection,carat,,128x8,llama_2_70b_GQA,0.2084323740412701
7.059147845382625e-06,attention,carat,,128x8,llama_2_70b_GQA,0.046314983761617634
0.00014825251070974923,ffn,carat,,128x8,llama_2_70b_GQA,0.9726829323503009
4.5000430875615534e-06,nonlinear,carat,,128x8,llama_2_70b_GQA,0.02952472835135756
3.288368533417949e-05,onchip_em,carat,,128x8,llama_2_70b_GQA,0.21574946234776246
5.337143935063464e-06,projection,carat,,256x8,llama_2_7b,0.19122803647752817
1.344717556624716e-05,attention,carat,,256x8,llama_2_7b,0.48180768796737733
1.0757610542052395e-05,ffn,carat,,256x8,llama_2_7b,0.3854414957092918
8.089335889561839e-07,nonlinear,carat,,256x8,llama_2_7b,0.028983813016646983
4.751142349914941e-06,onchip_em,carat,,256x8,llama_2_7b,0.17023180068848184
1.0035811914895126e-05,projection,carat,,256x8,llama_2_13b,0.20652125535547988
2.0899503126070192e-05,attention,carat,,256x8,llama_2_13b,0.4300789670535487
2.032243072506869e-05,ffn,carat,,256x8,llama_2_13b,0.41820372290823465
1.4407981944673742e-06,nonlinear,carat,,256x8,llama_2_13b,0.029649365129460023
8.389811972979561e-06,onchip_em,carat,,256x8,llama_2_13b,0.17264916038178668
4.740765824519151e-05,projection,carat,,256x8,llama_2_70b,0.20813210413332006
6.616347434780226e-05,attention,carat,,256x8,llama_2_70b,0.290475076021621
0.00012444489488752433,ffn,carat,,256x8,llama_2_70b,0.5463458601483945
4.2131793556447635e-06,nonlinear,carat,,256x8,llama_2_70b,0.01849696687919304
4.030380217379018e-05,onchip_em,carat,,256x8,llama_2_70b,0.17694430523479535
2.6666807762920227e-05,projection,carat,,256x8,llama_2_70b_GQA,0.17496060368273603
8.68660776764366e-06,attention,carat,,256x8,llama_2_70b_GQA,0.056992728657059434
0.00012444489488752433,ffn,carat,,256x8,llama_2_70b_GQA,0.8164814524605691
4.2131793556447635e-06,nonlinear,carat,,256x8,llama_2_70b_GQA,0.027642618870648276
2.6585045494926776e-05,onchip_em,carat,,256x8,llama_2_70b_GQA,0.1744241624298578
