flops,execution_time,cycle_count,throughput,energy_efficiency,power_efficiency,layer,arch,subarch,arch_dim,model,flops_baseline,execution_time_baseline,cycle_count_baseline
4466.76598784,43.62076160000001,17448304640.0,0.9923076923076922,1.392310406082357,1.403103510005476,projection,mugi,vlp,128x8,llama_2_7b,4466.76598784,43.285217280000005,17314086912.0
1100.044304384,87.20728064000001,34882912256.0,0.9868037146491191,1.23252378575136,1.2490060256710853,attention,mugi,vlp,128x8,llama_2_7b,1100.044304384,86.05646848000022,34422587392.00008
9003.32519424,87.9230976,35169239040.0,0.9923076923076922,1.3923275920386753,1.403120829186262,ffn,mugi,vlp,128x8,llama_2_7b,9003.32519424,87.24676608,34898706432.0
6979.321856,68.15744000000001,27262976000.0,0.9923076923076922,0.8911152412786982,1.4031611115095783,projection,mugi,vlp,128x8,llama_2_13b,4466.76598784,43.285217280000005,17314086912.0
1375.05538048,109.00910080000001,43603640320.0,0.986803714649119,0.986019028772973,1.2490060258888152,attention,mugi,vlp,128x8,llama_2_13b,1100.044304384,86.05646848000022,34422587392.00008
14133.1267584,138.01881600000002,55207526400.0,0.9923076923076922,0.8869931195493607,1.403166508751693,ffn,mugi,vlp,128x8,llama_2_13b,9003.32519424,87.24676608,34898706432.0
17867.06395136,174.48304640000003,69793218560.0,0.9923076923076922,0.34811332766818215,1.4032475223833702,projection,mugi,vlp,128x8,llama_2_70b,4466.76598784,43.285217280000005,17314086912.0
2200.088608768,174.41456128000002,69765824512.0,0.9868037146491191,0.6162618931442503,1.2490060262154092,attention,mugi,vlp,128x8,llama_2_70b,1100.044304384,86.05646848000022,34422587392.00008
46901.04287232,458.01799680000005,183207198720.0,0.9923076923076922,0.2672996531521212,1.4032388497908366,ffn,mugi,vlp,128x8,llama_2_70b,9003.32519424,87.24676608,34898706432.0
10050.22347264,98.1467136,39258685440.0,0.9923076923076926,0.6188681379335166,1.4032475220585552,projection,mugi,vlp,128x8,llama_2_70b_GQA,4466.76598784,43.285217280000005,17314086912.0
2200.088608768,21.81558272,8726233088.0,7.8894494439615155,13.272037547883372,3.3645028445024447,attention,mugi,vlp,128x8,llama_2_70b_GQA,1100.044304384,86.05646848000022,34422587392.00008
46901.04287232,458.01799680000005,183207198720.0,0.9923076923076922,0.2672996531521212,1.4032388497908366,ffn,mugi,vlp,128x8,llama_2_70b_GQA,9003.32519424,87.24676608,34898706432.0
4466.76598784,21.810380800000004,8724152320.0,1.9846153846153844,2.961535105016123,1.4922463707445583,projection,mugi,vlp,256x8,llama_2_7b,4466.76598784,43.285217280000005,17314086912.0
1100.044304384,65.73244416000006,26292977664.000023,1.3091931934027774,1.5267762647546734,1.1661963050589708,attention,mugi,vlp,256x8,llama_2_7b,1100.044304384,86.05646848000022,34422587392.00008
9003.32519424,43.9615488,17584619520.0,1.9846153846153844,2.9615884068666034,1.4922732282661182,ffn,mugi,vlp,256x8,llama_2_7b,9003.32519424,87.24676608,34898706432.0
6979.321856,34.078720000000004,13631488000.0,1.9846153846153844,1.89547051921408,1.4923156946331784,projection,mugi,vlp,256x8,llama_2_13b,4466.76598784,43.285217280000005,17314086912.0
1375.05538048,82.16555520000006,32866222080.000023,1.3091931934027774,1.221421012161586,1.1661963054006383,attention,mugi,vlp,256x8,llama_2_13b,1100.044304384,86.05646848000022,34422587392.00008
14133.1267584,69.00940800000001,27603763200.0,1.9846153846153844,1.8867110084443217,1.4923282043536077,ffn,mugi,vlp,256x8,llama_2_13b,9003.32519424,87.24676608,34898706432.0
17867.06395136,87.24152320000002,34896609280.0,1.9846153846153844,0.7404697702782624,1.4924196920337074,projection,mugi,vlp,256x8,llama_2_70b,4466.76598784,43.285217280000005,17314086912.0
2200.088608768,131.4648883200001,52585955328.000046,1.3091931934027774,0.7633881329364731,1.1661963059131404,attention,mugi,vlp,256x8,llama_2_70b,1100.044304384,86.05646848000022,34422587392.00008
46901.04287232,229.00899840000002,91603599360.0,1.9846153846153844,0.5685733170534755,1.4924152688477743,ffn,mugi,vlp,256x8,llama_2_70b,9003.32519424,87.24676608,34898706432.0
10050.22347264,49.0733568,19629342720.0,1.9846153846153851,1.3163907021335794,1.4924196913723722,projection,mugi,vlp,256x8,llama_2_70b_GQA,4466.76598784,43.285217280000005,17314086912.0
2200.088608768,16.446873600000014,6578749440.000006,10.464781401372251,17.26330379339262,3.299314745576793,attention,mugi,vlp,256x8,llama_2_70b_GQA,1100.044304384,86.05646848000022,34422587392.00008
46901.04287232,229.00899840000002,91603599360.0,1.9846153846153844,0.5685733170534755,1.4924152688477743,ffn,mugi,vlp,256x8,llama_2_70b_GQA,9003.32519424,87.24676608,34898706432.0
4466.76598784,43.62076160000001,17448304640.0,0.9923076923076922,1.0831105716165528,1.091506777598077,projection,carat,,128x8,llama_2_7b,4466.76598784,43.285217280000005,17314086912.0
1100.044304384,87.20728064000001,34882912256.0,0.9868037146491191,1.0386052008844855,1.052494214874116,attention,carat,,128x8,llama_2_7b,1100.044304384,86.05646848000022,34422587392.00008
9003.32519424,87.9230976,35169239040.0,0.9923076923076922,1.0831166597357178,1.0915129129119638,ffn,carat,,128x8,llama_2_7b,9003.32519424,87.24676608,34898706432.0
6979.321856,68.15744000000001,27262976000.0,0.9923076923076922,0.6932147705412193,1.0915445757068618,projection,carat,,128x8,llama_2_13b,4466.76598784,43.285217280000005,17314086912.0
1375.05538048,109.00910080000001,43603640320.0,0.986803714649119,0.8308841688593751,1.052494225200114,attention,carat,,128x8,llama_2_13b,1100.044304384,86.05646848000022,34422587392.00008
