arch,subarch,arch_dim,accumulator,fifo,pe,nonlinear,vector,tc,value_reuse,total
mugi,vlp,128x8,60.08626917095994,33.401008173032196,1.9000643950682596,1.1435496352381125,0.41164102099764305,0.20164167184091283,2.855825932862936,117.34002721597406
mugi,vlp,256x8,60.36196292242823,33.830415619110276,2.1096698778391616,1.354943572805308,0.45767085561929566,0.21197185267846824,1.6733652995192392,195.7339509430585
mugi,lut,128x8,57.7539992752162,32.104536168291666,1.8263127201892013,4.980697895014739,0.3956630284483899,0.19381487867417566,2.7449760341656217,122.0785495083862
mugi,lut,256x8,57.56648845223652,32.26366631871503,2.0119671525051492,5.923379115685618,0.43647526934787634,0.20215504298784556,1.5958686485219495,205.23894729636342
carat,,128x8,45.00137329782439,46.827980715800585,1.5674100294791917,0.0,3.3705991526131283,0.42142137452916734,2.811215429753559,168.2568536037749
carat,,256x8,37.98511861597681,55.31459636265531,1.4940307589103319,0.0,3.397839840343378,0.38303098196742535,1.425383440146767,324.9517577784819
systolic,figna,8x8,34.3363604609327,5.309267723319128,59.67983752226414,0.0,0.6745342934840325,0.0,0.0,108.03719369782759
systolic,figna,16x16,32.8696890603376,5.69639434416996,60.777920068946514,0.0,0.6559965265459305,0.0,0.0,221.6461306678183
simd,figna,8x8,33.357721872590425,5.802688691947893,60.09255448421915,0.0,0.7470349512425394,0.0,0.0,98.85044948453071
simd,figna,16x16,32.70450789681132,6.022003564200763,60.56735202063338,0.0,0.7061365183545473,0.0,0.0,209.6617432525358
