flops,execution_time,cycle_count,throughput,energy_efficiency,power_efficiency,layer,arch,subarch,arch_dim,model
4466.76598784,43.62076160000001,17448304640.0,102.39999999999998,10.560625481155675,460.662526460377,projection,mugi,vlp,128x8,llama_2_7b
1100.044304384,87.20728064000001,34882912256.0,12.614133777718493,1.9354237458858294,168.7830417647856,attention,mugi,vlp,128x8,llama_2_7b
9003.32519424,87.9230976,35169239040.0,102.39999999999999,5.239605181825123,460.68231778707604,ffn,mugi,vlp,128x8,llama_2_7b
6979.321856,68.15744000000001,27262976000.0,102.39999999999998,6.7590777764662855,460.6814380048343,projection,mugi,vlp,128x8,llama_2_13b
1375.05538048,109.00910080000001,43603640320.0,12.614133777718491,1.5483389969785735,168.78304179420826,attention,mugi,vlp,128x8,llama_2_13b
14133.1267584,138.01881600000002,55207526400.0,102.39999999999999,3.337931225387197,460.6973156173701,ffn,mugi,vlp,128x8,llama_2_13b
17867.06395136,174.48304640000003,69793218560.0,102.39999999999998,2.640427351862399,460.7098081508362,projection,mugi,vlp,128x8,llama_2_70b
2200.088608768,174.41456128000002,69765824512.0,12.614133777718493,0.9677118733646489,168.7830418383422,attention,mugi,vlp,128x8,llama_2_70b
46901.04287232,458.01799680000005,183207198720.0,102.39999999999999,1.0059016683747575,460.7210671267844,ffn,mugi,vlp,128x8,llama_2_70b
10050.22347264,98.1467136,39258685440.0,102.4,4.69409306889104,460.70980804419395,projection,mugi,vlp,128x8,llama_2_70b_GQA
2200.088608768,21.81558272,8726233088.0,100.84940828791211,20.840990594597514,454.6583542831841,attention,mugi,vlp,128x8,llama_2_70b_GQA
46901.04287232,458.01799680000005,183207198720.0,102.39999999999999,1.0059016683747575,460.7210671267844,ffn,mugi,vlp,128x8,llama_2_70b_GQA
4466.76598784,21.810380800000004,8724152320.0,204.79999999999995,22.463139653874226,489.92962981457714,projection,mugi,vlp,256x8,llama_2_7b
1100.044304384,65.73244416000006,26292977664.000023,16.73518029705955,2.3974864190224854,157.592642162754,attention,mugi,vlp,256x8,llama_2_7b
9003.32519424,43.9615488,17584619520.0,204.79999999999998,11.145045211903284,489.95344896129257,ffn,mugi,vlp,256x8,llama_2_7b
6979.321856,34.078720000000004,13631488000.0,204.79999999999995,14.37707724983242,489.9523900154091,projection,mugi,vlp,256x8,llama_2_13b
1375.05538048,82.16555520000006,32866222080.000023,16.73518029705955,1.9179891357799135,157.59264220892487,attention,mugi,vlp,256x8,llama_2_13b
14133.1267584,69.00940800000001,27603763200.0,204.79999999999998,7.100068139838153,489.9714990898922,ffn,mugi,vlp,256x8,llama_2_13b
17867.06395136,87.24152320000002,34896609280.0,204.79999999999995,5.616437175119091,489.9865341144947,projection,mugi,vlp,256x8,llama_2_70b
2200.088608768,131.4648883200001,52585955328.000046,16.73518029705955,1.1987432103892508,157.59264227818127,attention,mugi,vlp,256x8,llama_2_70b
46901.04287232,229.00899840000002,91603599360.0,204.79999999999998,2.1396542848934197,490.0000847057104,ffn,mugi,vlp,256x8,llama_2_70b
10050.22347264,49.0733568,19629342720.0,204.8,9.984777195787169,489.98653389736717,projection,mugi,vlp,256x8,llama_2_70b_GQA
2200.088608768,16.446873600000014,6578749440.000006,133.7694118819031,27.108448924419573,445.8492329519851,attention,mugi,vlp,256x8,llama_2_70b_GQA
46901.04287232,229.00899840000002,91603599360.0,204.79999999999998,2.1396542848934197,490.0000847057104,ffn,mugi,vlp,256x8,llama_2_70b_GQA
4466.76598784,43.62076160000001,17448304640.0,102.39999999999998,8.215355607164991,358.36006839936744,projection,carat,,128x8,llama_2_7b
1100.044304384,87.20728064000001,34882912256.0,12.614133777718493,1.6309147065806535,142.22763651668234,attention,carat,,128x8,llama_2_7b
9003.32519424,87.9230976,35169239040.0,102.39999999999999,4.075983048330444,358.37305537430314,ffn,carat,,128x8,llama_2_7b
6979.321856,68.15744000000001,27262976000.0,102.39999999999998,5.258009663441423,358.372478155429,projection,carat,,128x8,llama_2_13b
1375.05538048,109.00910080000001,43603640320.0,12.614133777718491,1.3047317780652181,142.2276379120746,attention,carat,,128x8,llama_2_13b
14133.1267584,138.01881600000002,55207526400.0,102.39999999999999,2.5966234697007162,358.3828968859048,ffn,carat,,128x8,llama_2_13b
17867.06395136,174.48304640000003,69793218560.0,102.39999999999998,2.0540167185041436,358.3910944011343,projection,carat,,128x8,llama_2_70b
2200.088608768,174.41456128000002,69765824512.0,12.614133777718493,0.8154573532903268,142.22763651668234,attention,carat,,128x8,llama_2_70b
46901.04287232,458.01799680000005,183207198720.0,102.39999999999999,0.7824986896590596,358.39848233626736,ffn,carat,,128x8,llama_2_70b
10050.22347264,98.1467136,39258685440.0,102.4,3.6515852773407014,358.3910944011344,projection,carat,,128x8,llama_2_70b_GQA
2200.088608768,21.81558272,8726233088.0,100.84940828791211,16.24772767242128,354.4536470497395,attention,carat,,128x8,llama_2_70b_GQA
46901.04287232,458.01799680000005,183207198720.0,102.39999999999999,0.7824986896590596,358.39848233626736,ffn,carat,,128x8,llama_2_70b_GQA
4466.76598784,21.810380800000004,8724152320.0,204.79999999999995,15.158496440301207,330.6125797184139,projection,carat,,256x8,llama_2_7b
1100.044304384,65.73244416000006,26292977664.000023,16.73518029705955,1.8254511800472695,119.99136775926335,attention,carat,,256x8,llama_2_7b
9003.32519424,43.9615488,17584619520.0,204.79999999999998,7.520726237331081,330.62277349387074,ffn,carat,,256x8,llama_2_7b
6979.321856,34.078720000000004,13631488000.0,204.79999999999995,9.701723551349211,330.62232042383545,projection,carat,,256x8,llama_2_13b
