array_dim,matrix_dim,throughput_gflops,compute_area_um2,compute_denergy_nj,compute_lpower_mw,total_sram_kb,sram_area_um2,sram_denergy_nj,sram_lpower_mw
4x4,16x16x16,6.3999999999999995,32.961124,16.4428758144,0.68917635,12.0,22.307333892899997,0.5978572799999999,0.5155584
8x8,32x32x32,25.599999999999998,127.29695999999998,124.9954707456,2.64936116,48.0,77.25131221500001,3.72875648,1.8242052
16x16,64x64x64,102.39999999999999,500.09276800000004,973.7736228864,10.38275616,192.0,307.132155738,26.5997056,6.8691216
32x32,128x128x128,409.59999999999997,1982.180928,7685.4284107776,41.10164768,768.0,1133.875419585,191.9146496,24.346404
